source,target,temporal_weight
kenapakepo88,rismawati08081,2
raisya1._,rismawati08081,2
rismawati08081,scrp20,2
cahayasalsabilaaaaaaa,dira0556,12
cahayasalsabilaaaaaaa,vidiaayuuu,8
cacaviorenita,vidiaayuuu,2
cahayasalsabilaaaaaaa,sulistian_1,11
cahayasalsabilaaaaaaa,i.frdaaa,8
cahayasalsabilaaaaaaa,riscana,7
cacaviorenita,i.frdaaa,3
i.frdaaa,meydon97,2
i.frdaaa,ini.fajrii,2
cacaviorenita,meydon97,2
cacaviorenita,ini.fajrii,2
cacaviorenita,zelinurrafinsia,2
cacaviorenita,dlameyy,2
cacaviorenita,kenapakepo88,2
sinsin3224,xwayyy.1,3
ajie.wardhana,sinsin3224,5
ajie.wardhana,riscana,4
riscana,xwayyy.1,3
ilhamaunard,sinsin3224,2
ilhamaunard,riscana,2
sinsin3224,tyeline2,5
eryy622,sinsin3224,4
riscana,sinsin3224,2
sinsin3224,vidiaayuuu,5
riscana,tyeline2,2
eryy622,riscana,3
saskiaawaeecahh,vidiaayuuu,2
mukar___,vidiaayuuu,3
mukar___,zelinurrafinsia,2
mukar___,nindhie82,3
mukar___,riscana,2
kenapakepo88,mukar___,2
cahayasalsabilaaaaaaa,zelinurrafinsia,5
belamaulidiah,cahayasalsabilaaaaaaa,15
cahayasalsabilaaaaaaa,nindhie82,7
cahayasalsabilaaaaaaa,kenapakepo88,6
cahayasalsabilaaaaaaa,dlameyy,11
scrp20,vvv8410,2
mamatchaaa_20,vidiaayuuu,2
belamaulidiah,mamatchaaa_20,2
dira0556,mamatchaaa_20,2
afikarrhnur,wulanciptaning,2
fitrip196,mawmaw.queen.shop,2
rizkifauzi402,trullyre_,6
mukar___,trullyre_,2
miraakhumaida,trullyre_,7
miraakhumaida,umarmardan12,2
miraakhumaida,yuliani025,2
laksitaanggi_,umarmardan12,2
laksitaanggi_,yuliani025,2
kelvin.shagufta7,ndhyulee,3
ndhyulee,trullyre_,4
all_aboutvi,ndhyulee,10
ndhyulee,putriraa_4,6
belamaulidiah,ndhyulee,7
kelvin.shagufta7,trullyre_,5
kelvin.shagufta7,umarmardan12,2
kelvin.shagufta7,yuliani025,2
esemm0212,umarmardan12,2
esemm0212,yuliani025,2
belamaulidiah,trullyre_,7
belamaulidiah,umarmardan12,2
belamaulidiah,yuliani025,2
girlpreittyes,sulistian_1,2
911lllll_,irnaayu27,2
dira0556,riski.radita,4
i.frdaaa,riski.radita,2
riski.radita,sulistian_1,4
cahayasalsabilaaaaaaa,riski.radita,2
dlameyy,riski.radita,2
belamaulidiah,riski.radita,2
riscana,riski.radita,2
belamaulidiah,gatausiapaaa11111,2
belamaulidiah,reysadwipermatasari_,2
reysadwipermatasari_,sulistian_1,2
eryy622,mungkinn000,2
anifitriyani25,kelvin.shagufta7,2
anifitriyani25,esemm0212,2
anifitriyani25,miraakhumaida,2
anifitriyani25,putriraa_4,2
all_aboutvi,anifitriyani25,2
anifitriyani25,belamaulidiah,2
cahayasalsabilaaaaaaa,putriraa_4,4
all_aboutvi,cahayasalsabilaaaaaaa,7
cahayasalsabilaaaaaaa,trullyre_,2
cahayasalsabilaaaaaaa,kelvin.shagufta7,3
kenapakepo88,mandasmile02,2
istii792,mandasmile02,2
dwe.sharah,mandasmile02,2
cy2_1884,istii792,2
cy2_1884,dwe.sharah,2
cy2_1884,raisya1._,2
belamaulidiah,demia1112,2
all_aboutvi,demia1112,2
demia1112,miraakhumaida,2
demia1112,laksitaanggi_,2
all_aboutvi,haliemaaa_,2
haliemaaa_,miraakhumaida,2
haliemaaa_,rizkifauzi402,2
haliemaaa_,laksitaanggi_,2
haliemaaa_,kelvin.shagufta7,2
_kyusanti,ilovemoneyyy19,3
bunen81,mirajasmin1,2
rikut02,rostianiani12,2
moharazakifamily,senjadipelupukmata24,2
all_aboutvi,suramahema,2
akutautuhanadil,rizkifauzi402,2
mellynm_73,nooraabeautycreator,2
rinrini523,rizkifauzi402,2
kenapakepo88,rismaajj97,2
nindyasari_,rismaajj97,2
putryutami09,uulazaa,2
dwe.sharah,putryutami09,2
azhl_042,skinby_sindy,3
azhl_042,xwayyy.1,2
xwayyy.1,zaramisu.ae,2
ajie.wardhana,azhl_042,2
ajie.wardhana,zaramisu.ae,2
ajie.wardhana,y4r4_19_0923,2
arabellarissa,skinby_sindy,2
a2_4r.m,skinby_sindy,2
septianiardianti_,skinby_sindy,3
