hcc_id,community_size,n_unique_hashtags,primary_brand,brand_label_auto,brand_combo,brand_confidence,brand_label_source,top_brand_score,second_brand,second_brand_score,top_brand_share,product_context_top_brand,product_context_top_score,product_context_second_brand,product_context_second_score,product_context_top_share,product_context_combo,azarine_score,daviena_score,maryame_score,the_originote_score,azarine_users,daviena_users,maryame_users,the_originote_users,azarine_videos,daviena_videos,maryame_videos,the_originote_videos,azarine_context_comments,daviena_context_comments,maryame_context_comments,the_originote_context_comments,azarine_context_users,daviena_context_users,maryame_context_users,the_originote_context_users,azarine_context_videos,daviena_context_videos,maryame_context_videos,the_originote_context_videos,top_brand_hashtags,top_5_hashtags_overall
58,3,25,Daviena,Daviena,Daviena,High,hashtag_lexicon,7,,0,1.0,Daviena,11,,0,1.0000,Daviena,0,7,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,3,0,0,0,4,0,0,davienaskincare(2); retinoldaviena(2); davienaretinol(1); ownerdavienaskincare(1); daviena(1),davienaskincare(2); retinoldaviena(2); buzzer(1); pemutihkulit(1); retinolskincare(1)
62,3,35,Maryame,Mixed_3plus_Brands,Maryame + Daviena + The Originote,Medium,hashtag_lexicon,4,Daviena,3,0.5,Maryame,11,Daviena,7,0.5000,Maryame + Daviena + Azarine + The Originote,0,3,4,1,0,4,6,2,0,3,4,1,2,7,11,2,2,2,3,2,1,4,6,1,maryamebeautyglowupcream(2); maryame(1); maryamebeauty(1),retinol(4); creamajaib(2); maryamebeautyglowupcream(2); davienaskincare(2); stepskincare(1)
73,3,17,Daviena,Daviena,Daviena + Maryame,Medium,hashtag_lexicon,3,Maryame,2,0.6,Daviena,6,Maryame,6,0.5000,Daviena + Maryame,0,3,2,0,0,6,3,0,0,3,2,0,0,6,6,0,0,3,3,0,0,2,2,0,retinoldaviena(2); davienaretinol(1),retinoldaviena(2); maryame(2); fyf(1); daycreamviral(1); skincareviral(1)
74,4,7,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,hashtag_lexicon,1,Maryame,1,0.5,Maryame,12,Daviena,4,0.7500,Maryame + Daviena,0,1,1,0,0,4,4,0,0,1,1,0,0,4,12,0,0,4,4,0,0,1,3,0,davienaskincare(1),reviewjujurdaviena(1); davienaskincare(1); maryamebeautyglowupcream(1); creamviral(1); creamsatset(1)
86,5,8,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,hashtag_lexicon,1,Maryame,1,0.5,Daviena,10,Maryame,10,0.4000,Daviena + Maryame + Azarine,0,1,1,0,0,5,5,0,0,1,1,0,5,10,10,0,5,5,5,0,1,2,2,0,davienaskincare(1),retinolviral(1); racunjuju(1); klarifikasi(1); davienaskincare(1); komitmen(1)
90,4,17,Azarine,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,hashtag_lexicon,2,Daviena,2,0.4,Azarine,4,Daviena,4,0.3333,Azarine + Daviena + Maryame,2,2,1,0,8,8,4,0,2,2,1,0,4,4,4,0,4,4,4,0,1,1,1,0,azarinecosmetic(1); marvelxazarine(1),retinolcomplex(1); davienabooster(1); creamsatset(1); creamajaib(1); davienaretinol(1)
99,6,7,The Originote,The Originote,The Originote,High,hashtag_lexicon,3,,0,1.0,The Originote,28,,0,1.0000,The Originote,0,0,0,3,0,0,0,12,0,0,0,3,0,0,0,28,0,0,0,6,0,0,0,3,theoriginote(2); serumtheoriginote(1),theoriginote(2); brightserum(1); serumtheoriginote(1); serumviral(1); theoriginoteserum(1)
112,6,11,Maryame,Maryame,Maryame,High,hashtag_lexicon,2,,0,1.0,Maryame,28,,0,1.0000,Maryame,0,0,2,0,0,0,12,0,0,0,2,0,0,0,28,0,0,0,6,0,0,0,3,0,maryame(1); maryamebeautee(1),cream(2); 4upage(1); maryame(1); creammaryamebeautee(1); cuantanpabatas(1)
113,6,9,Maryame,Maryame,Maryame,High,hashtag_lexicon,2,,0,1.0,Maryame,28,,0,1.0000,Maryame,0,0,2,0,0,0,6,0,0,0,2,0,0,0,28,0,0,0,6,0,0,0,3,0,maryame(2),maryame(2); daycream(2); daycreamviral(1); hydrolizedcollagen(1); niacinamide(1)
116,6,9,The Originote,The Originote,The Originote,High,hashtag_lexicon,2,,0,1.0,The Originote,12,Maryame,6,0.6667,The Originote + Maryame,0,0,0,2,0,0,0,12,0,0,0,2,0,0,6,12,0,0,6,6,0,0,1,2,theoriginote(1); serumtheoriginote(1),creamsatset(1); maryamebeutee(1); creamajaib(1); theoriginote(1); capcut(1)
