hcc_id,hashtag,frequency,n_videos,n_users_exposed
48,acnefighter,1,1,5
48,azarineproduct,1,1,5
48,retinolserum,1,1,5
48,azarine,1,1,5
48,serumazarinemarvel,1,1,5
48,serumazarine,1,1,5
48,retinolazarine,1,1,5
48,azarineretinol,1,1,5
48,maryame,1,1,5
48,creammaryamebeautee,1,1,5
48,cuantanpabatas,1,1,5
48,4upage,1,1,5
48,cream,1,1,5
48,brighteningserum,1,1,5
48,niacinamideserum,1,1,5
48,capcut,1,1,5
48,theoriginote,1,1,5
48,reviewserumtheoriginote,1,1,5
48,rekomendasiserum,1,1,5
48,reviewserum,1,1,5
49,retinolskincare,2,2,6
49,racunnabella,1,1,6
49,davienaretinol,1,1,6
49,retinol101,1,1,6
49,retinolbeginners,1,1,6
49,reviewretinol,1,1,6
49,sleepingmaskretinoldaviena,1,1,6
49,kulitcerah,1,1,6
49,reviewskincare,1,1,6
49,kulitglowing,1,1,6
49,stitch,1,1,6
49,sleepingmaskretinol,1,1,6
49,retinolmoisturizer,1,1,6
49,retinoltips,1,1,6
49,sleepingmask,1,1,6
49,kulitberminyak,1,1,6
49,retinolpemula,1,1,6
49,retinol,1,1,6
49,retinolcream,1,1,6
49,maryame,1,1,6
49,daycream,1,1,6
49,hyalucserum,1,1,2
49,brightb3serum,1,1,2
49,theoriginote,1,1,2
50,skincareviral,1,1,6
50,longervideos,1,1,6
50,reviewjudes,1,1,6
50,kerajaanglowing,1,1,6
50,retinol,1,1,6
50,gayaditiktok,1,1,6
50,creamviral,1,1,6
50,maryamebeautyglowupcream,1,1,6
50,dokterdetektif,1,1,6
50,maryame,1,1,6
52,retinol,3,3,5
52,davienaskincare,3,3,5
52,retinoldaviena,3,3,5
52,retinolskincare,2,2,5
52,glowup,2,2,5
52,katadrzie,1,1,5
52,serumazarine,1,1,5
52,azarinesuperserum,1,1,5
52,serum,1,1,5
52,reviewjujurdaviena,1,1,5
52,carapakeretinol,1,1,5
52,pemutihkulit,1,1,5
52,glowing,1,1,5
52,flks,1,1,5
52,ownerdavienaskincare,1,1,5
52,pemutih,1,1,5
52,daviena,1,1,5
52,berandatiktok,1,1,5
52,buzzer,1,1,5
52,flksguys,1,1,5
52,cod,1,1,5
52,reviewskincare,1,1,5
52,glowupcream,1,1,5
52,cream,1,1,5
52,maryamebeautee,1,1,5
52,daycreamviral,1,1,5
52,maryame,1,1,5
52,daycream,1,1,5
52,serumvitc,1,1,5
52,serummencerahkan,1,1,5
52,theoriginotehyalucserum,1,1,5
52,theoriginote,1,1,5
52,theoriginotebrighteningserum,1,1,5
54,retinol,4,4,11
54,retinolserum,2,2,11
54,marvelxazarine,2,2,11
54,azarinecosmetic,2,2,11
54,serumazarine,2,2,10
54,reviewretinol,1,1,10
54,racuntiktokshop,1,1,10
54,retinolcomplex,1,1,10
54,acnefighter,1,1,8
54,azarineproduct,1,1,10
54,azarine,1,1,10
54,serumazarinemarvel,1,1,10
54,retinolazarine,1,1,10
54,azarineretinol,1,1,10
54,retinolviral,1,1,9
54,katadrzie,1,1,9
54,azarinesuperserum,1,1,9
54,serum,1,1,9
54,skincareampuh,1,1,10
54,encapsulatedretinol,1,1,10
54,mencerahkankulit,1,1,10
54,mengurangitandapenuaan,1,1,10
54,skincareviral,1,1,2
54,longervideos,1,1,2
54,reviewjudes,1,1,2
54,kerajaanglowing,1,1,2
54,gayaditiktok,1,1,2
54,klarifikasi,1,1,2
54,komitmen,1,1,2
54,davienaskincare,1,1,2
60,davienaskincare,2,2,3
60,retinoldaviena,2,2,3
60,reviewjujurdaviena,1,1,2
60,sleepingmaskretinoldaviena,1,1,3
60,retinolbosterdaviena,1,1,3
60,davienaretinol,1,1,3
60,davienabooster,1,1,3
60,retinolboosterdavienaskincare,1,1,3
60,davienaretinolbooster,1,1,3
60,davienaskincareofficial,1,1,3
60,moneylaundry,1,1,3
60,fypã·,1,1,3
60,pemutihkulit,1,1,3
60,glowing,1,1,3
60,flks,1,1,3
60,ownerdavienaskincare,1,1,3
60,pemutih,1,1,3
60,daviena,1,1,3
60,retinolskincare,1,1,3
60,berandatiktok,1,1,3
60,buzzer,1,1,3
60,flksguys,1,1,3
60,retinol,1,1,3
60,glowup,1,1,3
60,cod,1,1,3
63,retinol,4,4,3
63,davienaskincare,2,2,2
63,creamajaib,2,2,2
63,maryamebeautyglowupcream,2,2,2
63,acnefighter,1,1,2
63,skincareviral,1,1,2
63,longervideos,1,1,2
63,reviewjudes,1,1,2
63,kerajaanglowing,1,1,2
63,gayaditiktok,1,1,2
63,retinoldaviena,1,1,2
63,carapakeretinol,1,1,2
63,moneylaundry,1,1,2
63,fypã·,1,1,2
63,maryamebeutee,1,1,2
63,creamsatset,1,1,2
63,skincaremaryame,1,1,2
63,skincareproducts,1,1,2
63,maryame,1,1,2
63,daycream,1,1,2
63,jerawatan,1,1,2
63,reviewdeswitatata,1,1,2
63,maryamebeauty,1,1,2
63,hydrolizedcollagen,1,1,2
63,chromabright,1,1,2
63,fishcollagen,1,1,2
63,stepskincare,1,1,2
63,niacinamide,1,1,2
63,berawaldaritiktokshop,1,1,2
63,zonacantik,1,1,2
63,theoriginote,1,1,2
63,creamviral,1,1,1
63,sleepingmaskretinoldaviena,1,1,1
63,skincaretips,1,1,1
63,sleepingmaskretinolbooster,1,1,1
74,retinoldaviena,2,2,3
74,maryame,2,2,3
74,sleepingmaskretinoldaviena,1,1,3
74,retinolbosterdaviena,1,1,3
74,davienaretinol,1,1,3
74,davienabooster,1,1,3
74,retinolboosterdavienaskincare,1,1,3
74,davienaretinolbooster,1,1,3
74,davienaskincareofficial,1,1,3
74,tipsskincare,1,1,3
74,pejuangglowing,1,1,3
74,ceritaiketia,1,1,3
74,pejuangglowup,1,1,3
74,fyf,1,1,3
74,skincareviral,1,1,3
74,daycreamviral,1,1,3
74,daycream,1,1,3
75,reviewjujurdaviena,1,1,4
75,davienaskincare,1,1,4
75,creamviral,1,1,4
75,maryamebeautyglowupcream,1,1,4
75,creamajaib,1,1,4
75,maryamebeutee,1,1,4
75,creamsatset,1,1,4
87,retinolviral,1,1,5
87,racunjuju,1,1,5
87,klarifikasi,1,1,5
87,komitmen,1,1,5
87,davienaskincare,1,1,5
87,creamajaib,1,1,5
87,creamsatset,1,1,5
87,maryamebeautee,1,1,5
90,reviewretinol,1,1,4
90,retinolserum,1,1,4
90,racuntiktokshop,1,1,4
90,marvelxazarine,1,1,4
90,retinolcomplex,1,1,4
90,azarinecosmetic,1,1,4
90,sleepingmaskretinoldaviena,1,1,4
90,retinolbosterdaviena,1,1,4
90,davienaretinol,1,1,4
90,davienabooster,1,1,4
90,retinolboosterdavienaskincare,1,1,4
90,davienaretinolbooster,1,1,4
90,davienaskincareofficial,1,1,4
90,retinoldaviena,1,1,4
90,creamajaib,1,1,4
90,creamsatset,1,1,4
90,maryamebeautee,1,1,4
99,theoriginote,2,2,6
99,brightserum,1,1,6
99,serumviral,1,1,6
99,serumtheoriginote,1,1,6
99,viralditiktok,1,1,6
99,theoriginotemoisturizer,1,1,6
99,theoriginoteserum,1,1,6
103,davienaskincare,4,4,5
103,retinoldaviena,3,3,5
103,retinol,2,2,5
103,skincareviral,1,1,5
103,longervideos,1,1,5
103,reviewjudes,1,1,5
103,kerajaanglowing,1,1,5
103,gayaditiktok,1,1,5
103,reviewjujurdaviena,1,1,5
103,carapakeretinol,1,1,5
103,sleepingmaskretinoldaviena,1,1,5
103,retinolbosterdaviena,1,1,5
103,davienaretinol,1,1,5
103,davienabooster,1,1,5
103,retinolboosterdavienaskincare,1,1,5
103,davienaretinolbooster,1,1,5
103,davienaskincareofficial,1,1,5
103,moneylaundry,1,1,5
103,fypã·,1,1,5
103,retinolskincare,1,1,5
103,reviewskincare,1,1,5
113,cream,2,2,6
113,maryame,1,1,6
113,creammaryamebeautee,1,1,6
113,cuantanpabatas,1,1,6
113,4upage,1,1,6
113,creamajaib,1,1,6
113,maryamebeutee,1,1,6
113,creamsatset,1,1,6
113,glowupcream,1,1,6
113,glowup,1,1,6
113,maryamebeautee,1,1,6
114,maryame,2,2,6
114,daycream,2,2,6
114,daycreamviral,1,1,6
114,hydrolizedcollagen,1,1,6
114,chromabright,1,1,6
114,fishcollagen,1,1,6
114,creamajaib,1,1,6
114,stepskincare,1,1,6
114,niacinamide,1,1,6
117,creamajaib,1,1,6
117,maryamebeutee,1,1,6
117,creamsatset,1,1,6
117,brighteningserum,1,1,6
117,niacinamideserum,1,1,6
117,capcut,1,1,6
117,theoriginote,1,1,6
117,serumviral,1,1,6
117,serumtheoriginote,1,1,6
132,marvelxazarine,1,1,4
132,azarinecosmetic,1,1,4
132,creamajaib,1,1,4
132,creamsatset,1,1,4
132,maryamebeautee,1,1,4
132,serumvitc,1,1,4
132,serummencerahkan,1,1,4
132,theoriginotehyalucserum,1,1,4
132,theoriginote,1,1,4
132,theoriginotebrighteningserum,1,1,4
134,skincareampuh,1,1,2
134,encapsulatedretinol,1,1,2
134,mencerahkankulit,1,1,2
134,retinol,1,1,2
134,mengurangitandapenuaan,1,1,2
134,sleepingmaskretinoldaviena,1,1,3
134,retinolbosterdaviena,1,1,3
134,davienaretinol,1,1,3
134,davienabooster,1,1,3
134,retinolboosterdavienaskincare,1,1,3
134,davienaretinolbooster,1,1,3
134,davienaskincareofficial,1,1,3
134,retinoldaviena,1,1,3
134,racunjuju,1,1,3
134,brightserum,1,1,2
134,theoriginote,1,1,2
150,maryame,2,2,6
150,retinol101,1,1,6
150,retinolbeginners,1,1,6
150,reviewretinol,1,1,6
150,sleepingmaskretinoldaviena,1,1,6
150,kulitcerah,1,1,6
150,reviewskincare,1,1,6
150,kulitglowing,1,1,6
150,stitch,1,1,6
150,sleepingmaskretinol,1,1,6
150,retinolmoisturizer,1,1,6
150,retinoltips,1,1,6
150,retinolskincare,1,1,6
150,sleepingmask,1,1,6
150,kulitberminyak,1,1,6
150,retinolpemula,1,1,6
150,retinol,1,1,6
150,retinolcream,1,1,6
150,creammaryamebeautee,1,1,6
150,cuantanpabatas,1,1,6
150,4upage,1,1,6
150,cream,1,1,6
150,tips,1,1,6
150,tipsandtricks,1,1,6
150,mputrizahro,1,1,6
150,jerawatan,1,1,6
150,reviewdeswitatata,1,1,6
150,maryamebeauty,1,1,6
150,maryamebeautyglowupcream,1,1,6
150,creamajaib,1,1,6
150,creamsatset,1,1,6
150,maryamebeautee,1,1,6
150,serumviral,1,1,6
150,serumtheoriginote,1,1,6
150,viralditiktok,1,1,6
150,theoriginotemoisturizer,1,1,6
150,theoriginoteserum,1,1,6
150,theoriginote,1,1,6
168,davienaskincare,2,2,5
168,reviewjujurdaviena,1,1,5
168,sleepingmaskretinoldaviena,1,1,5
168,retinolbosterdaviena,1,1,5
168,davienaretinol,1,1,5
168,davienabooster,1,1,5
168,retinolboosterdavienaskincare,1,1,5
168,davienaretinolbooster,1,1,5
168,davienaskincareofficial,1,1,5
168,retinoldaviena,1,1,5
168,moneylaundry,1,1,5
168,fypã·,1,1,5
180,retinol,1,1,4
180,acnefighter,1,1,4
180,marvelxazarine,1,1,4
180,azarinecosmetic,1,1,4
180,retinolviral,1,1,4
181,retinol,1,1,5
181,retinoldaviena,1,1,5
181,carapakeretinol,1,1,5
181,davienaskincare,1,1,5
181,retinolskincare,1,1,5
181,racunnabella,1,1,5
181,davienaretinol,1,1,5
181,racunjuju,1,1,5
182,retinol,1,1,6
182,acnefighter,1,1,6
183,racunjuju,1,1,7
183,brightserum,1,1,7
183,theoriginote,1,1,7
191,theoriginote,2,2,5
191,hyalucserum,1,1,5
191,brightb3serum,1,1,5
191,reviewserumtheoriginote,1,1,5
191,rekomendasiserum,1,1,5
191,reviewserum,1,1,5
191,brightserum,1,1,5
204,serumazarine,2,2,4
204,retinol,2,2,4
204,azarineproduct,1,1,4
204,retinolserum,1,1,4
204,azarine,1,1,4
204,serumazarinemarvel,1,1,4
204,retinolazarine,1,1,4
204,azarineretinol,1,1,4
204,katadrzie,1,1,4
204,azarinesuperserum,1,1,4
204,serum,1,1,4
204,skincareampuh,1,1,4
204,encapsulatedretinol,1,1,4
204,mencerahkankulit,1,1,4
204,mengurangitandapenuaan,1,1,4
205,theoriginote,3,3,5
205,brighteningserum,1,1,5
205,niacinamideserum,1,1,5
205,capcut,1,1,5
205,brightb3serum,1,1,5
205,serumvitc,1,1,5
205,serummencerahkan,1,1,5
205,theoriginotehyalucserum,1,1,5
205,theoriginotebrighteningserum,1,1,5
206,maryame,2,2,5
206,creamviral,1,1,5
206,maryamebeautyglowupcream,1,1,5
206,skincareviral,1,1,5
206,dokterdetektif,1,1,5
