model_id,seed,positive_threshold,margin_positive_neutral,margin_positive_negative,abstention_threshold,safety_constraints_passed,full_development_constraints_passed,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,coverage,abstention_rate,class_collapse,minimum_recall,positive_precision,positive_recall,positive_f1,neutral_recall,negative_recall,positive_to_neutral,positive_to_negative,positive_to_uncertain,neutral_to_positive,negative_to_positive,all_evaluable_accuracy_abstain_wrong,negative_precision,negative_f1,negative_support,neutral_precision,neutral_f1,neutral_support,positive_support,all_ece,all_brier_score,all_mean_confidence,covered_ece,covered_brier_score,covered_mean_confidence
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,-0.05,0.5,False,False,0.791005291005291,0.7413962729444097,0.7881263584693586,0.7453283150638677,0.6477819905984283,0.6923076923076923,0.3076923076923077,False,0.5517241379310345,0.6363636363636364,0.7974683544303798,0.7078651685393258,0.8867924528301887,0.5517241379310345,10,6,34,14,22,0.5476190476190477,0.75,0.6357615894039735,87,0.8744186046511628,0.8805620608899297,212,79,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.19473900693684706,0.3668882869440702,0.6042027920049519
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,0.0,0.35,True,False,0.7156133828996283,0.6725759713664354,0.711647483176155,0.6640004283113824,0.5246864065482674,0.9853479853479854,0.0146520146520146,False,0.5545454545454546,0.6630434782608695,0.5545454545454546,0.6039603960396039,0.8374558303886925,0.6,26,23,3,14,17,0.7051282051282052,0.6126760563380281,0.6062717770034843,145,0.7796052631578947,0.807495741056218,283,110,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1584921534183403,0.43847661733127036,0.5552624934218084
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,0.0,0.4,True,False,0.7390438247011952,0.6985847001613111,0.7371482033340341,0.6944223539618276,0.5590277649558438,0.9194139194139194,0.08058608058608063,False,0.6090225563909775,0.6630434782608695,0.6354166666666666,0.648936170212766,0.8388278388278388,0.6090225563909775,19,16,17,14,17,0.6794871794871795,0.6377952755905512,0.6230769230769231,133,0.8091872791519434,0.8237410071942446,273,96,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.16919370869133343,0.42466093226061097,0.5678580841373517
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,0.0,0.42,False,False,0.7479166666666667,0.704023326849094,0.7450962898210176,0.6993151377189689,0.5716954742895219,0.8791208791208791,0.1208791208791209,False,0.5934959349593496,0.6630434782608695,0.648936170212766,0.6559139784946236,0.8555133079847909,0.5934959349593496,18,15,19,14,17,0.6575091575091575,0.6517857142857143,0.6212765957446809,123,0.8152173913043478,0.8348794063079777,263,94,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1727330861537365,0.41534106860954195,0.5751835805129301
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,0.0,0.45,False,False,0.7607223476297968,0.7151286406719327,0.759187927020443,0.7143143758567718,0.5906591742531709,0.8113553113553114,0.18864468864468864,False,0.5943396226415094,0.6630434782608695,0.6931818181818182,0.6777777777777778,0.8554216867469879,0.5943396226415094,15,12,25,14,17,0.6172161172161172,0.6494845360824743,0.6206896551724138,106,0.8385826771653543,0.8469184890656064,249,88,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.17397649244058533,0.39780789731466454,0.5867458551892115
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,0.0,0.5,False,False,0.8005390835579514,0.7533299328631776,0.7983362909552864,0.7547886995655059,0.6579793713984554,0.6794871794871795,0.3205128205128205,False,0.5853658536585366,0.6630434782608695,0.7922077922077922,0.7218934911242604,0.8867924528301887,0.5853658536585366,10,6,36,14,17,0.5439560439560439,0.75,0.6575342465753424,82,0.8744186046511628,0.8805620608899297,212,77,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.19243563057796884,0.36308875588868034,0.6081034529799826
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,0.05,0.35,True,False,0.719626168224299,0.6764072218862278,0.7155006893017579,0.666312183834147,0.5298440859531709,0.9798534798534798,0.020146520146520186,False,0.5321100917431193,0.6904761904761905,0.5321100917431193,0.6010362694300518,0.8374558303886925,0.6293706293706294,26,25,4,14,12,0.7051282051282052,0.6122448979591837,0.6206896551724138,143,0.7796052631578947,0.807495741056218,283,109,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.15961087944899263,0.43744387323179645,0.5562769710182971
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,0.05,0.4,True,False,0.7454545454545455,0.7057468448508356,0.7437363912207304,0.6993808891783385,0.5655962541236823,0.9065934065934066,0.09340659340659341,False,0.6236559139784946,0.6904761904761905,0.6236559139784946,0.655367231638418,0.8388278388278388,0.6356589147286822,19,16,20,14,12,0.6758241758241759,0.640625,0.6381322957198443,129,0.8091872791519434,0.8237410071942446,273,93,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.17082124694684792,0.42203847134659256,0.5705928944672936
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,0.05,0.42,False,False,0.7542372881355932,0.7108397192869242,0.7516898976378922,0.7038400043813461,0.5773190987170463,0.8644688644688645,0.1355311355311355,False,0.6186440677966102,0.6904761904761905,0.6373626373626373,0.6628571428571428,0.8555133079847909,0.6186440677966102,18,15,22,14,12,0.652014652014652,0.6517857142857143,0.6347826086956522,118,0.8152173913043478,0.8348794063079777,263,91,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1757671417080305,0.4121357887521785,0.5784701464275627
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,0.05,0.45,False,False,0.767816091954023,0.7232242193245405,0.7666635087731849,0.7205123347203607,0.5972120382392985,0.7967032967032966,0.20329670329670335,False,0.6237623762376238,0.6904761904761905,0.6823529411764706,0.6863905325443787,0.8554216867469879,0.6237623762376238,15,12,28,14,12,0.6117216117216118,0.6494845360824743,0.6363636363636364,101,0.8385826771653543,0.8469184890656064,249,85,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.17729148433006015,0.39400753533067717,0.5905246076239627
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,0.05,0.5,False,False,0.8099173553719008,0.7651967799698635,0.8083575833267476,0.7646509533301987,0.6674922856354746,0.6648351648351648,0.3351648351648352,False,0.6233766233766234,0.6904761904761905,0.7837837837837838,0.7341772151898734,0.8867924528301887,0.6233766233766234,10,6,39,14,12,0.5384615384615384,0.75,0.6808510638297872,77,0.8744186046511628,0.8805620608899297,212,74,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1968149544816069,0.3577694429563322,0.6131024008902939
char_wb_3_6_linearsvc_balanced,42,0.3,0.1,-0.05,0.35,False,False,0.706766917293233,0.6555347528788397,0.7003972572279932,0.6449937731658556,0.5056082397778082,0.9743589743589743,0.02564102564102566,False,0.5046728971962616,0.6428571428571429,0.5046728971962616,0.5654450261780105,0.8469750889679716,0.5833333333333334,31,22,6,11,19,0.6886446886446886,0.6086956521739131,0.5957446808510638,144,0.7677419354838709,0.805414551607445,281,107,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1590716215337372,0.43651769546704206,0.5570937920000973
