hcc_id,community_size,n_accounts,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,soft_positive_share,soft_neutral_share,soft_negative_share,effective_sample_size,dominant_sentiment,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_method,goal_validation_status,small_sample_warning,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,negative_ratio_ci_low,negative_ratio_ci_high,neutral_ratio_ci_low,neutral_ratio_ci_high,positive_ratio_ci_low,positive_ratio_ci_high
150,6,6,48,48,1.0,3,34,11,0,0,0.0625,0.7083333333333334,0.22916666666666666,0.20152642741887983,0.5235260399919611,0.2749475325891591,31.80197755537369,Neutral,Neutral Engagement,Assigned,High,0.47916666666666674,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Maryame,Maryame + The Originote,Medium,Low,0.13307691028989044,0.36539535908451154,0.5682047226383247,0.8175858393813662,0.021482843131227235,0.1683569766274222
168,5,5,23,23,1.0,21,2,0,0,0,0.9130434782608695,0.08695652173913043,0.0,0.6242845114043017,0.18944049787705355,0.18627499071864467,15.610428666719306,Positive,Promotional / Supportive,Assigned,High,0.826086956521739,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Daviena,Daviena,High,Low,0.0,0.14312112541726274,0.02417949540723341,0.2679640429809401,0.7320359570190598,0.9758205045927666
180,4,4,18,18,1.0,16,2,0,0,0,0.8888888888888888,0.1111111111111111,0.0,0.595174884841998,0.25874752242923216,0.14607759272876986,11.703174530641538,Positive,Promotional / Supportive,Assigned,High,0.7777777777777777,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Azarine,Azarine,Azarine,High,Low,0.0,0.1758845505823749,0.031018868453582777,0.3280024486660421,0.6719975513339578,0.9689811315464172
181,5,5,23,23,1.0,22,1,0,0,0,0.9565217391304348,0.043478260869565216,0.0,0.6419989433997773,0.1602776077977399,0.19772344880248285,15.391918150405061,Positive,Promotional / Supportive,Assigned,High,0.9130434782608696,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Daviena,Daviena,High,Medium,0.0,0.14312112541726274,0.0077164669621267515,0.2099158649405914,0.7900841350594088,0.9922835330378733
182,6,6,18,17,0.9444444444444444,3,11,3,1,0,0.17647058823529413,0.6470588235294118,0.17647058823529413,0.2225076314771888,0.5037654561609947,0.27372691236181645,11.353640378206011,Neutral,Neutral Engagement,Assigned,High,0.47058823529411764,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Not identified,Not identified,,None,Low,0.06191013712548989,0.41029929017375777,0.4129996672121183,0.8269051385609512,0.06191013712548989,0.41029929017375777
183,7,7,15,14,0.9333333333333333,2,10,2,1,0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.25896850125821164,0.5022806828296716,0.2387508159121167,9.160932685339342,Neutral,Neutral Engagement,Assigned,Medium,0.5714285714285714,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote,High,Low,0.04009307373792117,0.399419077638637,0.4535045882751561,0.882788120898909,0.04009307373792117,0.399419077638637
191,5,5,23,23,1.0,23,0,0,0,0,1.0,0.0,0.0,0.6292845136454838,0.20594110652011555,0.16477437983440058,14.473543813846128,Positive,Promotional / Supportive,Assigned,High,1.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote,High,Medium,0.0,0.14312112541726274,0.0,0.14312112541726274,0.8568788745827373,1.0000000000000002
204,4,4,18,18,1.0,16,2,0,0,0,0.8888888888888888,0.1111111111111111,0.0,0.5572799002722447,0.27636416615210047,0.16635593357565476,11.021064808385983,Positive,Promotional / Supportive,Assigned,High,0.7777777777777777,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Azarine,Azarine,Azarine,High,Low,0.0,0.1758845505823749,0.031018868453582777,0.3280024486660421,0.6719975513339578,0.9689811315464172
205,5,5,23,23,1.0,20,3,0,0,0,0.8695652173913043,0.13043478260869565,0.0,0.6127530120321366,0.2390181188998748,0.14822886906798863,15.158574075653235,Positive,Promotional / Supportive,Assigned,High,0.7391304347826086,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote,High,Medium,0.0,0.14312112541726274,0.04537576514344702,0.321278979730182,0.678721020269818,0.9546242348565529
206,5,5,23,20,0.8695652173913043,19,1,0,3,0,0.95,0.05,0.0,0.6201698180330706,0.18216421513065859,0.19766596683627083,14.721344698342627,Positive,Promotional / Supportive,Assigned,High,0.8999999999999999,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Maryame,Maryame,High,Medium,0.0,0.1611301254949332,0.008881219432873143,0.23613589351256678,0.7638641064874331,0.9911187805671267
