exact_group_id,normalized_text,representative_comment_text,n_comments,n_unique_accounts,n_unique_videos,n_unique_brands,n_actor_types,actor_types,actor_pair_scope,accounts,platform_usernames,comment_ids,video_ids,video_urls,brands,hcc_ids,contains_community_actor,contains_mass_actor,contains_lcn_edge_account_pair,presentation_eligible
EXACT_GROUP_00214,brapa,brapa,2,2,1,1,1,Mass Actor,Mass–Mass,MASS_6816a8258a8e;MASS_9dae073316af,aygku98;sridewi2462,7394358798359937798;7436906785996423943,7385065641595653382,https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm,Maryame,,False,True,False,False
EXACT_GROUP_00215,brapa ka?,brapa ka?,3,2,2,2,1,Mass Actor,Mass–Mass,MASS_45694aa78ab7;MASS_f1314e63f76e,onettpretty;vithanovita1818,7381333217813005061;7383985825152795397;7548693925968741138,7262186413284822277;7378347819268082950,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT;https://www.tiktok.com/@irnaayu27/video/7378347819268082950?_r=1&_t=ZS-977bzKce12X,Daviena;Maryame,,False,True,False,False
EXACT_GROUP_00216,brapa kak,brapa kak,2,2,2,1,1,Mass Actor,Mass–Mass,MASS_21d49ec12107;MASS_4fde580ae02b,sipendek043;sitimuawanah789,7428743347591889681;7572824953540805383,7385065641595653382;7430007251076697350,https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm;https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0,Maryame,,False,True,False,False
EXACT_GROUP_00217,brgkli ada yg mau gntiin retinal daviena dpt war 8.8 kmrin. msh segel. mnt dm aja,Brgkli ada yg mau gntiin retinal daviena dpt war 8.8 kmrin. Msh segel. Mnt dm aja,2,1,1,1,1,Mass Actor,Mass–Mass,MASS_4c70f74486e7,bims2030,7406669701021467398;7406669842578998022,7378347819268082950,https://www.tiktok.com/@irnaayu27/video/7378347819268082950?_r=1&_t=ZS-977bzKce12X,Daviena,,False,True,False,False
EXACT_GROUP_00218,bright b3 kak,bright b3 kak,2,1,1,1,1,Individual Actor,Individual–Individual,dicannnns,dicannnns,7226225317436867354;7226989193757737754,7194330759329631514,https://www.tiktok.com/@dicannnns/video/7194330759329631514?_r=1&_t=ZS-9701cuVmRfz,The Originote,,False,False,False,False
EXACT_GROUP_00219,brilian dok,brilian dok,5,5,1,1,1,Mass Actor,Mass–Mass,MASS_03f9f89cc25d;MASS_0fb8852bd95c;MASS_8397e72a7136;MASS_becd7978706c;MASS_db27ace4d8c2,12345yulie;indufadhil;n1f02rf;nadiahapati;nurliana538,7428535997728637704;7428589660849079045;7428618528415073030;7431829075478479622;7456062357465318152,7428436533981613318,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,Maryame,,False,True,False,True
EXACT_GROUP_00220,briliant dok,briliant dok,2,2,1,1,1,Mass Actor,Mass–Mass,MASS_1a76a0442e20;MASS_b53702d4cd65,lullavania;nanda_aja63,7428455959590847237;7431414983961510661,7428436533981613318,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,Maryame,,False,True,False,False
EXACT_GROUP_00221,brp,brp,10,10,6,2,1,Mass Actor,Mass–Mass,MASS_64fa4b00b905;MASS_a9386ad1f7d7;MASS_c7ee05f54f07;MASS_c842bf8a23d2;MASS_ca1c117f7859;MASS_dbc18da9d34a;MASS_ea35f5e37f8f;MASS_ee2cc4f2bbe1;MASS_f0191c08eab3;MASS_f13df90cb095,ananata244;choirriyah;dwiistkmh;ertyna11;intnsfya_;moonmusee60;nandaa_69;nha.akhtaria08;rhmaachann27;stowbery_lovers,7312081429628879622;7319916798857134853;7369203630983611141;7379659319572267781;7383978889250947845;7386419072090014470;7444390480797942548;7483373593625019142;7504340904300987137;7623715409221878548,7262186413284822277;7312025661835578629;7340938843190725893;7378347819268082950;7429636271552728326;7430007251076697350,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT;https://www.tiktok.com/@irnaayu27/video/7378347819268082950?_r=1&_t=ZS-977bzKce12X;https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z;https://www.tiktok.com/@maharajasp8/video/7312025661835578629?_r=1&_t=ZS-9707B1CL1aS;https://www.tiktok.com/@maryame.official/video/7429636271552728326?_r=1&_t=ZS-977Uh8qlFYI;...(+1),Daviena;Maryame,,False,True,False,True
EXACT_GROUP_00222,brp 1 set,brp 1 set,2,2,1,1,1,Mass Actor,Mass–Mass,MASS_88b915d46b58;MASS_f81080cb2672,nabila_bohay;yumna_anak_,7389247823826600710;7423560665161696018,7385065641595653382,https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm,Maryame,,False,True,False,False
EXACT_GROUP_00223,brp harganya,brp harganya,3,3,3,2,1,Mass Actor,Mass–Mass,MASS_00e6889cf9ee;MASS_376849f7f248;MASS_6450db54b4b0,anakpertamasatusatunyaa;caspo.reog;nyanyak814,7395817647847293714;7461162700073501447;7529887078096896769,7363584993148357894;7418812570569641221;7429265515434036485,https://www.tiktok.com/@iketiaaa/video/7418812570569641221?_r=1&_t=ZS-9707LeDmYUr;https://www.tiktok.com/@mayhapid2/video/7363584993148357894?_r=1&_t=ZS-977UjZATiFU;https://www.tiktok.com/@rikut02/video/7429265515434036485?_r=1&_t=ZS-97026zwQb3A,Daviena;Maryame,,False,True,False,True
