threshold_band,pair_id,comment_id_1,comment_id_2,similarity_category,cosine_similarity_char5,token_jaccard,comment_1,comment_2,actor_pair_type,human_similarity_decision,false_positive_reason,reviewer_notes
exact,SIM_PAIR_000000021,3886589000602565696,1044492788336991746,EXACT_DUPLICATE,1.0,1.0,"sama nih pengalamannya, worth to try emang","sama nih pengalamannya, worth to try emang",Community–Community,,,
exact,SIM_PAIR_000000022,1044492788336991746,4249726145288410455,EXACT_DUPLICATE,1.0,1.0,"sama nih pengalamannya, worth to try emang","sama nih pengalamannya, worth to try emang",Community–Community,,,
exact,SIM_PAIR_000000023,7205114960309395663,1044492788336991746,EXACT_DUPLICATE,1.0,1.0,"sama nih pengalamannya, worth to try emang","sama nih pengalamannya, worth to try emang",Community–Community,,,
exact,SIM_PAIR_000000024,1044492788336991746,7858124227134670168,EXACT_DUPLICATE,1.0,1.0,"sama nih pengalamannya, worth to try emang","sama nih pengalamannya, worth to try emang",Community–Community,,,
exact,SIM_PAIR_000000025,1044492788336991746,9176432356434458684,EXACT_DUPLICATE,1.0,1.0,"sama nih pengalamannya, worth to try emang","sama nih pengalamannya, worth to try emang",Community–Community,,,
0.92-0.9999,SIM_PAIR_000373842,7492436901099635474,7125819871941673755,NEAR_EXACT,1.0,0.0,@USER,@USER,Community–Mass,,,
0.92-0.9999,SIM_PAIR_000373843,7128731325309485850,7311310993682072325,NEAR_EXACT,1.0,0.5,sama😔☝️,yeaaay sama💗😊,Mass–Individual,,,
0.92-0.9999,SIM_PAIR_000373844,7463899642633536274,7128731325309485850,NEAR_EXACT,1.0,1.0,sama😫,sama😔☝️,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373845,7431026620877013768,7169903880985232155,NEAR_EXACT,1.0,0.0,🥰🥰🥰 eat,🥰🥰🥰,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373846,7428530367105958663,7179144618703979291,NEAR_EXACT,1.0,0.0,@USER,@USER Almisky,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373847,7188388986619593498,7431073998467547910,NEAR_EXACT,1.0,1.0,cara beli gmn kk,kk gmn cara beli,Community–Mass,,,
0.92-0.9999,SIM_PAIR_000373848,7314816208921019141,7188520636834054938,NEAR_EXACT,1.0,0.6666666666666666,belinya dimana yaa🧐,belinya dimana,Community–Mass,,,
0.92-0.9999,SIM_PAIR_000373849,7314816208921019141,7188686708618314522,NEAR_EXACT,1.0,0.6666666666666666,belinya dimana yaa🧐,belinya dimana,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373850,7462027597171753735,7188824103141786394,NEAR_EXACT,1.0,1.0,harga nya berapa,berapa harga nya,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373851,7357771698178081542,7188888508605219611,NEAR_EXACT,1.0,0.5,Iya kak😞,Iya,Individual–Individual,,,
0.92-0.9999,SIM_PAIR_000373852,7421361947243496197,7188888508605219611,NEAR_EXACT,1.0,0.5,iya ih🥺,Iya,Mass–Individual,,,
0.92-0.9999,SIM_PAIR_000373853,7428578788249223943,7188888508605219611,NEAR_EXACT,1.0,0.5,iya sup iya,Iya,Mass–Individual,,,
0.92-0.9999,SIM_PAIR_000373854,7461447790980252422,7188888508605219611,NEAR_EXACT,1.0,0.5,iya loh😩,Iya,Mass–Individual,,,
0.92-0.9999,SIM_PAIR_000373855,7192491973935366938,7242635836692349701,NEAR_EXACT,1.0,1.0,😳,@🦢🦢 😳,Mass–Individual,,,
0.92-0.9999,SIM_PAIR_000373856,7431026620877013768,7195328901157159706,NEAR_EXACT,1.0,0.0,🥰🥰🥰 eat,🥰🥰🥰,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373857,7222903298671428357,7202376943550645019,NEAR_EXACT,1.0,1.0,acne b5 serum kak,Serum acne b5 kak,Individual–Individual,,,
0.92-0.9999,SIM_PAIR_000373858,7205573794197914394,7203718784850592538,NEAR_EXACT,1.0,1.0,sama sama,sama,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373859,7388498984321909509,7203718784850592538,NEAR_EXACT,1.0,1.0,sama ✌️✌️✌️,sama,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373860,7205573794197914394,7218101413368120069,NEAR_EXACT,1.0,1.0,sama sama,Sama,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373861,7205573794197914394,7259685645600785157,NEAR_EXACT,1.0,1.0,sama sama,sama,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373862,7205573794197914394,7341027458844295942,NEAR_EXACT,1.0,1.0,sama sama,Sama,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373863,7205573794197914394,7388498984321909509,NEAR_EXACT,1.0,1.0,sama sama,sama ✌️✌️✌️,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373864,7205573794197914394,7422608299932500742,NEAR_EXACT,1.0,1.0,sama sama,sama,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373865,7205573794197914394,7422678760380154629,NEAR_EXACT,1.0,1.0,sama sama,sama,Mass–Mass,,,
0.92-0.9999,SIM_PAIR_000373866,7205573794197914394,7422782270140547845,NEAR_EXACT,1.0,1.0,sama sama,sama,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263498,7428442625939800838,7428533729277100806,HIGH_SIMILARITY,0.9199395813266321,0.6666666666666666,dok coba kezia dok,Kezia dok,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263499,7428442625939800838,7428541631853757202,HIGH_SIMILARITY,0.9199395813266321,0.6666666666666666,dok coba kezia dok,Kezia dok,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263500,7428442625939800838,7428551969164034822,HIGH_SIMILARITY,0.9199395813266321,0.6666666666666666,dok coba kezia dok,kezia dok,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263501,7428442625939800838,7429136203008525062,HIGH_SIMILARITY,0.9199395813266321,0.6666666666666666,dok coba kezia dok,Kezia dok,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263502,7428442625939800838,7429236716827624198,HIGH_SIMILARITY,0.9199395813266321,0.6666666666666666,dok coba kezia dok,Kezia dok,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263503,7428442625939800838,7429239737117344518,HIGH_SIMILARITY,0.9199395813266321,0.6666666666666666,dok coba kezia dok,dok kezia,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263504,7424544380437725958,7258831438655816453,HIGH_SIMILARITY,0.9199225196890455,0.3333333333333333,Enggak ya,enggak kak,Mass–Individual,,,
0.85-0.9199,SIM_PAIR_000263505,7429131840491733776,7428494906862371589,HIGH_SIMILARITY,0.9198939689495323,0.6,putri glow dong kak,Dok putri glow dong dok,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263506,7429119102691721989,7429007598824014597,HIGH_SIMILARITY,0.9198807924703428,0.6,cek Riran glow dong dok 🙏🏻😳,Riran Glow Dok,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263507,7291827364518291188A,7291827364518291192A,HIGH_SIMILARITY,0.9198493134644592,0.8,baru order daviena semoga cocok kaya testimoni2 disini btw,baru order davina semoga cocok kaya testimoni2 disini btw,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263508,9182736451827361234A,9182736451827361553A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263509,9182736451827361234A,9182736451827361564A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263510,9182736451827361234A,9182736451827361575A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263511,9182736451827361234A,9182736451827361586A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263512,9182736451827361234A,9182736451827361597A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263513,9182736451827361234A,9182736451827361618A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263514,9182736451827361234A,9182736451827361629A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263515,9182736451827361234A,9182736451827361641A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263516,9182736451827361234A,9182736451827361652A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263517,9182736451827361234A,9182736451827361663A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263518,9182736451827361234A,9182736451827361674A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263519,9182736451827361234A,9182736451827361685A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263520,9182736451827361234A,9182736451827361696A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263521,9182736451827361234A,9182736451827361717A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.85-0.9199,SIM_PAIR_000263522,9182736451827361234A,9182736451827361728A,HIGH_SIMILARITY,0.9198348746257647,0.8181818181818182,setelah rutin pakai daviena kulitku terasa lebih sehat dan lembap,setelah rutin pakai davina kulitku terasa lebih sehat dan lembap,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338630,7428804569243403014,7428462357406810885,MODERATE_SIMILARITY,0.8499872874620013,0.5,dokk the face temulawak dongsss,the face temulawak dok,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338631,7428804569243403014,7428544288344326933,MODERATE_SIMILARITY,0.8499872874620013,0.5,dokk the face temulawak dongsss,The face temulawak dok,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338632,7428804569243403014,7429154483453788946,MODERATE_SIMILARITY,0.8499872874620013,0.5,dokk the face temulawak dongsss,the face temulawak dok,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338633,7428804569243403014,7429186556563358472,MODERATE_SIMILARITY,0.8499872874620013,0.5,dokk the face temulawak dongsss,the face temulawak dok,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338634,7428804569243403014,7429557957270209288,MODERATE_SIMILARITY,0.8499872874620013,0.5,dokk the face temulawak dongsss,the face temulawak dok,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338635,7428804569243403014,7432125266015929093,MODERATE_SIMILARITY,0.8499872874620013,0.5,dokk the face temulawak dongsss,the face temulawak dok,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338636,7428727246522745606,7428462357406810885,MODERATE_SIMILARITY,0.8499818114739082,0.6,the face Temulawak gimana?,the face temulawak dok,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338637,7428544288344326933,7428727246522745606,MODERATE_SIMILARITY,0.8499818114739082,0.6,The face temulawak dok,the face Temulawak gimana?,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338638,7429154483453788946,7428727246522745606,MODERATE_SIMILARITY,0.8499818114739082,0.6,the face temulawak dok,the face Temulawak gimana?,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338639,7429186556563358472,7428727246522745606,MODERATE_SIMILARITY,0.8499818114739082,0.6,the face temulawak dok,the face Temulawak gimana?,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338640,7429557957270209288,7428727246522745606,MODERATE_SIMILARITY,0.8499818114739082,0.6,the face temulawak dok,the face Temulawak gimana?,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338641,7432125266015929093,7428727246522745606,MODERATE_SIMILARITY,0.8499818114739082,0.6,the face temulawak dok,the face Temulawak gimana?,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338642,7323830511226209029,7424538254785266438,MODERATE_SIMILARITY,0.8499791651503098,0.6,ready taiwan kah????,ada yg ready Taiwan kah,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338643,7379029453818938117,7399873481230631685,MODERATE_SIMILARITY,0.8499574780694386,0.375,mn keranjang kuning y,gmn cta bli nya mn keranjang kuning nya,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338644,7373505973151089413,7519517611149050632,MODERATE_SIMILARITY,0.8499563098311046,0.5,masih ada kak,Masih ga kak,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338645,7373505973151089413,7568295692997968656,MODERATE_SIMILARITY,0.8499563098311046,0.5,masih ada kak,masih ga kak,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338646,7482232507598996232,7519517611149050632,MODERATE_SIMILARITY,0.8499563098311046,0.5,Masih ada kak,Masih ga kak,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338647,7568295692997968656,7482232507598996232,MODERATE_SIMILARITY,0.8499563098311046,0.5,masih ga kak,Masih ada kak,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338648,7553986913276642055,7519517611149050632,MODERATE_SIMILARITY,0.8499563098311046,0.5,masih ada kak,Masih ga kak,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338649,7568295692997968656,7553986913276642055,MODERATE_SIMILARITY,0.8499563098311046,0.5,masih ga kak,masih ada kak,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338650,7429154475720426245,7428445575726580486,MODERATE_SIMILARITY,0.849931191351413,0.4,dok zamzam dok,dok coba cek zamzam cream,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338651,7291827364518291124A,7291827364518291288A,MODERATE_SIMILARITY,0.8499155895678852,0.7,baru order maryame semoga cocok kaya testimoni2 disini 🙏,baru order daviena semoga cocok kaya testimoni2 disini beneran,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338652,7428456211374326533,7428444676753392389,MODERATE_SIMILARITY,0.8499089338043244,0.5,Coba cek fenny frans dok,produk Fenny frans dok,Mass–Mass,,,
0.75-0.8499,SIM_PAIR_000338653,7450891967762383623,7450823237732336402,MODERATE_SIMILARITY,0.8499013110384486,0.5555555555555556,di etalase akun aku ada ya kak hehe,d etalase aku ada kak hehe,Individual–Individual,,,
0.75-0.8499,SIM_PAIR_000338654,7428804569243403014,7430131154924536581,MODERATE_SIMILARITY,0.8498767260447609,0.42857142857142855,dokk the face temulawak dongsss,the face temulawak dong dok,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403596,7475574971399455489,7475256998202000148,WEAK_CANDIDATE,0.7499859333926956,0.3,acne day+night,mau ga msih segel yg acne day+night yg pink night doang,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403597,7475574971399455489,7475257309217194773,WEAK_CANDIDATE,0.7499859333926956,0.3,acne day+night,mau ga msih segel yg acne day+night yg pink night doang,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403598,7434138664739095303,7428533121262011142,WEAK_CANDIDATE,0.7499717320110233,0.2,nezzmg gmna kk,nezzmg dong dokter,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403599,7428744497699242768,7428532655065170694,WEAK_CANDIDATE,0.7499590628827725,0.5714285714285714,coba cek charismalux acne dok,dok coba cek charismalux dongg pliss,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403600,7323803551696208646,7460878562981233425,WEAK_CANDIDATE,0.7499555593239637,0.3333333333333333,bisa busui gk,busui bisa pake ga kak?,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403601,7369574319255749382,7397042851778413318,WEAK_CANDIDATE,0.7499530608484497,0.2857142857142857,purging nggak ini😩 cc @USER,WAJIB COBA🤩 cc @USER,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403602,7397338491505492741,7229575712314868507,WEAK_CANDIDATE,0.7499431217639405,0.3333333333333333,cakepp 😍,uhh cakepp dehh😭😍😍,Community–Mass,,,
0.70-0.7499,SIM_PAIR_000403603,7429108327088882438,7428476205839516422,WEAK_CANDIDATE,0.7499377713710599,0.3333333333333333,coba skin care SERUNi,coba seruni skincare dok,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403604,7429108327088882438,7428590522640204549,WEAK_CANDIDATE,0.7499377713710599,0.3333333333333333,coba skin care SERUNi,coba seruni skincare dok,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403605,7429108327088882438,7428597077535523589,WEAK_CANDIDATE,0.7499377713710599,0.3333333333333333,coba skin care SERUNi,dok coba seruni skincare,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403606,7429108327088882438,7428613025013990152,WEAK_CANDIDATE,0.7499377713710599,0.3333333333333333,coba skin care SERUNi,seruni skincare coba dok,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403607,7429108327088882438,7429133439078744850,WEAK_CANDIDATE,0.7499377713710599,0.3333333333333333,coba skin care SERUNi,dok coba seruni skincare,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403608,7388469493561918214,7447108674600780562,WEAK_CANDIDATE,0.7499344123236207,0.3333333333333333,kk kranjang kuningnya mana,keranjang kuningnya mana kak?,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403609,7421924955673477894,7264222646984082182,WEAK_CANDIDATE,0.7499267197553108,0.25,Normal kering kk,normal kak,Mass–Individual,,,
0.70-0.7499,SIM_PAIR_000403610,7230014995718275866,7247112734004232966,WEAK_CANDIDATE,0.7499143462640772,0.2,ceratides kak,pagi pakek ceratides gpp?,Mass–Individual,,,
0.70-0.7499,SIM_PAIR_000403611,7316906052224893702,7421825354539516677,WEAK_CANDIDATE,0.7499088835746317,0.5,BUSUI BOLEH GA PAKE INI? @USER.okypratamaa_kedua bener ga dok?,emang kasusnya apa ini? @USER.okypratamaa_kedua bener ga dok?,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403612,7398171201003537159,7226734813137748763,WEAK_CANDIDATE,0.749906083728615,0.6666666666666666,Berapa Satu Paket nya kk,satu paket berapa kk harganya,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403613,7432844020370391814,7428556800461554450,WEAK_CANDIDATE,0.7499055583364317,0.375,dok coba dari KEZIA dok @USER.okypratamaa_kedua,@USER.okypratamaa_kedua BG SKIN DOK,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403614,7432844020370391814,7430269074275468049,WEAK_CANDIDATE,0.7499055583364317,0.375,dok coba dari KEZIA dok @USER.okypratamaa_kedua,bg skin dok @USER.okypratamaa_kedua,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403615,7388466483405882117,7388496633310446341,WEAK_CANDIDATE,0.7498941507721443,1.0,keranjang kuning mana,keranjang kuning mana...?,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403616,7388496633310446341,7425755115279303431,WEAK_CANDIDATE,0.7498941507721443,1.0,keranjang kuning mana...?,mana keranjang kuning,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403617,7429394521706906373,7428475507182682885,WEAK_CANDIDATE,0.7498888400296413,0.4,dok revew berrijoy,Dok cek berrijoy dong,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403618,7596248309217657608,7429879815925383941,WEAK_CANDIDATE,0.7498786869702408,0.2,Kena lagi deh cc @USER.okypratamaa_kedua,coba Mk glok dok @USER.okypratamaa_kedua,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403619,7429503565771555602,7428531455469028114,WEAK_CANDIDATE,0.7498706103660906,0.375,Cek Skincare Seruni Dong Dok,kak coba dong seruni skincare pliss,Mass–Mass,,,
0.70-0.7499,SIM_PAIR_000403620,7432230976074777345,7426491376446472965,WEAK_CANDIDATE,0.7498613397052607,0.25,ga ngaruh di muka gw🥺🥺,sama aku juga ga ngaruh,Mass–Mass,,,
