threshold,coverage,abstention_rate,macro_f1,balanced_accuracy,mcc,minimum_per_class_recall,objective,selected,n_covered,n_abstained,class_collapse,macro_f1_covered,balanced_accuracy_covered,mcc_covered,precision_negative,recall_negative,f1_negative,covered_true_negative,covered_pred_negative,abstained_true_negative,precision_neutral,recall_neutral,f1_neutral,covered_true_neutral,covered_pred_neutral,abstained_true_neutral,precision_positive,recall_positive,f1_positive,covered_true_positive,covered_pred_positive,abstained_true_positive,eligible,selection_reason,selection_policy,target_minimum_coverage,threshold_selection_data_scope,locked_test_used_for_threshold_selection
0.3,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.31,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.32,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.33,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.34,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.35,0.9975186104218362,0.0024813895781637717,0.6927015792587289,0.6757929323685015,0.557031409438571,0.5477707006369427,0.6927015792587289,False,804,2,False,0.6927015792587289,0.6757929323685015,0.557031409438571,0.6808510638297872,0.5953488372093023,0.6352357320099256,215,188,1,0.7717171717171717,0.8842592592592593,0.8241639697950378,432,495,1,0.7107438016528925,0.5477707006369427,0.6187050359712231,157,121,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.36,0.9962779156327544,0.0037220843672456576,0.6935249840165262,0.676720267005899,0.5584332100420745,0.5477707006369427,0.6935249840165262,False,803,3,False,0.6935249840165262,0.676720267005899,0.5584332100420745,0.6808510638297872,0.5981308411214953,0.6368159203980099,214,188,2,0.7732793522267206,0.8842592592592593,0.8250539956803455,432,494,1,0.7107438016528925,0.5477707006369427,0.6187050359712231,157,121,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.37,0.9875930521091811,0.01240694789081886,0.694945338794755,0.677264906763375,0.5615358996248394,0.5424836601307189,0.694945338794755,False,796,10,False,0.694945338794755,0.677264906763375,0.5615358996248394,0.6844919786096256,0.6009389671361502,0.64,213,187,3,0.7748478701825557,0.8883720930232558,0.8277356446370531,430,493,3,0.7155172413793104,0.5424836601307189,0.6171003717472119,153,116,4,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.38,0.9789081885856079,0.02109181141439206,0.6974530082248669,0.6800237544704345,0.564412571434763,0.5510204081632653,0.6974530082248669,False,789,17,False,0.6974530082248669,0.6800237544704345,0.564412571434763,0.6881720430107527,0.6009389671361502,0.6416040100250626,213,186,3,0.7791411042944786,0.8881118881118881,0.8300653594771242,429,489,4,0.7105263157894737,0.5510204081632653,0.6206896551724138,147,114,10,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.39,0.9689826302729528,0.031017369727047148,0.7033668880060934,0.684923887587822,0.5715502918309369,0.5625,0.7033668880060934,False,781,25,False,0.7033668880060934,0.684923887587822,0.5715502918309369,0.6961325966850829,0.6,0.6445012787723785,210,181,6,0.7807377049180327,0.892271662763466,0.8327868852459016,427,488,6,0.7232142857142857,0.5625,0.6328125,144,112,13,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.4,0.9590570719602978,0.04094292803970223,0.7070674004488021,0.6884527559610544,0.5768705321014058,0.5673758865248227,0.7070674004488021,False,773,33,False,0.7070674004488021,0.6884527559610544,0.5768705321014058,0.6983240223463687,0.6038647342995169,0.6476683937823834,207,179,9,0.7851239669421488,0.8941176470588236,0.8360836083608361,425,484,8,0.7272727272727273,0.5673758865248227,0.6374501992031872,141,110,16,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.41,0.9330024813895782,0.06699751861042183,0.7154577498171095,0.6969841269841269,0.5886254930073169,0.5833333333333334,0.7154577498171095,False,752,54,False,0.7154577498171095,0.6969841269841269,0.5886254930073169,0.7093023255813954,0.61,0.6559139784946236,200,172,16,0.7953586497890295,0.8976190476190476,0.843400447427293,420,474,13,0.7264150943396226,0.5833333333333334,0.6470588235294118,132,106,25,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.42,0.9156327543424317,0.08436724565756824,0.7229230919199292,0.7035955130692102,0.5990060565782525,0.5905511811023622,0.7229230919199292,True,738,68,False,0.7229230919199292,0.7035955130692102,0.5990060565782525,0.7100591715976331,0.6185567010309279,0.6611570247933884,194,169,22,0.8034188034188035,0.9016786570743405,0.8497175141242937,417,468,16,0.7425742574257426,0.5905511811023622,0.6578947368421053,127,101,30,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.43,0.890818858560794,0.10918114143920596,0.7329683082525303,0.7127078297810007,0.6173619648862351,0.5934959349593496,0.7329683082525303,False,718,88,False,0.7329683082525303,0.7127078297810007,0.6173619648862351,0.7134146341463414,0.6324324324324324,0.670487106017192,185,164,31,0.8165938864628821,0.9121951219512195,0.8617511520737328,410,458,23,0.7604166666666666,0.5934959349593496,0.6666666666666666,123,96,34,False,Not eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.44,0.8647642679900744,0.13523573200992556,0.7358066875943364,0.7137793677388721,0.6232088035596647,0.591304347826087,0.7358066875943364,False,697,109,False,0.7358066875943364,0.7137793677388721,0.6232088035596647,0.7261146496815286,0.6298342541436464,0.6745562130177515,181,157,35,0.8181818181818182,0.9201995012468828,0.8661971830985915,401,451,32,0.7640449438202247,0.591304347826087,0.6666666666666666,115,89,42,False,Not eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
