macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,ece,brier_score,model_id,fold,preprocessing,feature_kind,classifier_kind,class_weight,C,coverage,abstention_rate,class_collapse,precision_Negative,recall_Negative,f1_Negative,support_Negative,precision_Neutral,recall_Neutral,f1_Neutral,support_Neutral,precision_Positive,recall_Positive,f1_Positive,support_Positive
0.6278642668681096,0.6695718779828587,0.6894409937888198,0.6007751937984496,0.4605043999155933,0.16760959472541048,0.1520073677172771,tfidf_word_logreg_social_C2_balanced,5,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.5862068965517241,0.3953488372093023,0.4722222222222222,43,0.6902654867256637,0.9069767441860465,0.7839195979899497,86,0.8421052631578947,0.5,0.6274509803921569,32
0.619504932067746,0.684236684106403,0.7098765432098766,0.6005580058807806,0.49621144983251997,0.17624580940700715,0.15113510244076947,tfidf_word_logreg_social_C2_balanced,6,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.6486486486486487,0.5581395348837209,0.6,43,0.7232142857142857,0.9310344827586207,0.8140703517587939,87,0.7692307692307693,0.3125,0.4444444444444444,32
0.6123113059791909,0.6687220039508629,0.6832298136645962,0.5967641335621262,0.4487440993827473,0.15261690312350445,0.15334510668178847,tfidf_word_logreg_social_C2_balanced,7,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.5714285714285714,0.46511627906976744,0.5128205128205128,43,0.7307692307692307,0.8735632183908046,0.7958115183246073,87,0.6363636363636364,0.45161290322580644,0.5283018867924528,31
0.6120117506256121,0.6748953033314389,0.7018633540372671,0.5893341151379798,0.4775016258044498,0.17162301303648705,0.15571990698970303,tfidf_word_logreg_social_C2_balanced,8,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.6857142857142857,0.5581395348837209,0.6153846153846154,43,0.6956521739130435,0.9195402298850575,0.7920792079207921,87,0.8181818181818182,0.2903225806451613,0.42857142857142855,31
0.6698812435563953,0.7238583089253693,0.7391304347826086,0.6510548091568347,0.5516348975267049,0.20459687471433927,0.15059718272494538,tfidf_word_logreg_social_C2_balanced,9,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.7435897435897436,0.6590909090909091,0.6987951807228916,44,0.75,0.9069767441860465,0.8210526315789474,86,0.6666666666666666,0.3870967741935484,0.4897959183673469,31
0.6406080086995458,0.6866172966646046,0.7018633540372671,0.6160368217054263,0.4841267478334855,0.19382329898921716,0.14881857717486133,tfidf_word_logreg_social_C2_balanced,10,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.631578947368421,0.5581395348837209,0.5925925925925926,43,0.7102803738317757,0.8837209302325582,0.7875647668393783,86,0.8125,0.40625,0.5416666666666666,32
0.5602803679986019,0.6485077276655002,0.6790123456790124,0.566821482669518,0.4471655769322184,0.1535157398547506,0.15435783768267378,tfidf_word_logreg_social_C2_balanced,11,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.5510204081632653,0.627906976744186,0.5869565217391305,43,0.7549019607843137,0.8850574712643678,0.8148148148148148,87,0.5454545454545454,0.1875,0.27906976744186046,32
0.6228626709240166,0.6865356625589912,0.7080745341614907,0.604007323669998,0.48979098227522905,0.1716455028143824,0.15111069500192031,tfidf_word_logreg_social_C2_balanced,12,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.7142857142857143,0.5813953488372093,0.6410256410256411,43,0.7181818181818181,0.9080459770114943,0.8020304568527918,87,0.625,0.3225806451612903,0.425531914893617,31
0.581170586465044,0.6406848500697405,0.6583850931677019,0.5645951717814511,0.3998402373142547,0.1443628337464424,0.15393638451454905,tfidf_word_logreg_social_C2_balanced,13,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.5833333333333334,0.4883720930232558,0.5316455696202531,43,0.6915887850467289,0.8505747126436781,0.7628865979381443,87,0.6111111111111112,0.3548387096774194,0.4489795918367347,31
0.6284611527438505,0.6918340369653466,0.7142857142857143,0.6106981290777239,0.5055320868303397,0.18661508522423909,0.15044127991813097,tfidf_word_logreg_social_C2_balanced,14,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.6666666666666666,0.5909090909090909,0.6265060240963856,44,0.7314814814814815,0.9186046511627907,0.8144329896907216,86,0.7142857142857143,0.3225806451612903,0.4444444444444444,31
0.67993447993448,0.7223190440581746,0.7391304347826086,0.6484980620155039,0.5537413809740853,0.20198268326177055,0.14914841674854082,tfidf_word_logreg_social_C2_balanced,15,social_normalized,word,logreg,balanced,2.0,1.0,0.0,False,0.7419354838709677,0.5348837209302325,0.6216216216216216,43,0.7232142857142857,0.9418604651162791,0.8181818181818182,86,0.8333333333333334,0.46875,0.6,32
0.6320881747760833,0.6975469743224222,0.7160493827160493,0.6188157132673973,0.5093026965939934,0.1992268548258121,0.14782391389813684,tfidf_word_linearsvc_social_C1_balanced,1,social_normalized,word,linearsvc,balanced,1.0,1.0,0.0,False,0.6842105263157895,0.6046511627906976,0.6419753086419753,43,0.7523809523809524,0.9080459770114943,0.8229166666666666,87,0.5789473684210527,0.34375,0.43137254901960786,32
0.6448296572434503,0.7024764065843526,0.7142857142857143,0.6334428434694881,0.5086239482601063,0.1677166365287139,0.14909615703431664,tfidf_word_linearsvc_social_C1_balanced,2,social_normalized,word,linearsvc,balanced,1.0,1.0,0.0,False,0.6363636363636364,0.6511627906976745,0.6436781609195402,43,0.7653061224489796,0.8620689655172413,0.8108108108108109,87,0.631578947368421,0.3870967741935484,0.48,31
0.6318437118437119,0.6837549200282119,0.6894409937888198,0.6162776326265474,0.4688499511379576,0.15842889049165748,0.15478838756817379,tfidf_word_linearsvc_social_C1_balanced,3,social_normalized,word,linearsvc,balanced,1.0,1.0,0.0,False,0.5106382978723404,0.5581395348837209,0.5333333333333333,43,0.7684210526315789,0.8390804597701149,0.8021978021978022,87,0.7368421052631579,0.45161290322580644,0.56,31
0.677834008097166,0.7260894711695627,0.7391304347826086,0.6568858123621815,0.5521002853865801,0.2249871241089118,0.1363947564176066,tfidf_word_linearsvc_social_C1_balanced,4,social_normalized,word,linearsvc,balanced,1.0,1.0,0.0,False,0.6944444444444444,0.5681818181818182,0.625,44,0.7596153846153846,0.9186046511627907,0.8315789473684211,86,0.7142857142857143,0.4838709677419355,0.5769230769230769,31
0.6712820512820513,0.706851409460105,0.7204968944099379,0.6421996124031008,0.5184936084351803,0.18876342078396433,0.14701384174587642,tfidf_word_linearsvc_social_C1_balanced,5,social_normalized,word,linearsvc,balanced,1.0,1.0,0.0,False,0.65625,0.4883720930232558,0.56,43,0.7155963302752294,0.9069767441860465,0.8,86,0.85,0.53125,0.6538461538461539,32
0.6544199835993187,0.7076379670319829,0.7222222222222222,0.6358176289762095,0.5209516446003134,0.17860804197116786,0.144770470232922,tfidf_word_linearsvc_social_C1_balanced,6,social_normalized,word,linearsvc,balanced,1.0,1.0,0.0,False,0.65,0.6046511627906976,0.6265060240963856,43,0.75,0.896551724137931,0.8167539267015707,87,0.7222222222222222,0.40625,0.52,32
