username,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,avg_sentiment_confidence,is_hcc_member,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,degree,weighted_degree,betweenness,narrative_similarity_level
gongmuas_08,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9950926303863525,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
nisaida51,2,2,0,1,1,0.0,0.5,0.5,Mixed,0.8945882022380829,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
sulima..9,2,2,2,0,0,1.0,0.0,0.0,Positive,0.948969155550003,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
_aii4i1,1,1,1,0,0,1.0,0.0,0.0,Positive,0.9349061250686646,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
bakulanofficial84,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.8409067392349243,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
erialfahrizi,1,1,0,0,1,0.0,0.0,1.0,Negative,0.40708208084106445,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
umibadrie03,1,1,1,0,0,1.0,0.0,0.0,Positive,0.9610228538513184,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
endul765,2,2,0,0,2,0.0,0.0,1.0,Negative,0.9865654706954956,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
syifa_nazlaa,1,1,0,0,1,0.0,0.0,1.0,Negative,0.4479338526725769,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
wiji.hernawati,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9957393407821655,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
