candidate,sample_set,preprocessing_variant,threshold,n_reference_labeled,n_evaluated,coverage,macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,negative_recall,neutral_recall,min_per_class_recall,min_per_class_f1,log_loss,brier_score,ece,uncertain_or_no_text_labels_excluded,positive_precision,positive_recall,positive_f1,positive_support,neutral_precision,neutral_f1,neutral_support,negative_precision,negative_f1,negative_support,selected_threshold
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.54,277,171,0.6173285198555957,0.84191349891833,0.8591073602939014,0.8538011695906432,0.8574533544199875,0.7780837330747262,0.8974358974358975,0.8488372093023255,0.8260869565217391,0.7608695652173914,1.2146789263322328,0.29590369641233444,0.1632049553471789,23,0.9047619047619048,0.8260869565217391,0.8636363636363636,46,0.9605263157894737,0.9012345679012346,86,0.660377358490566,0.7608695652173914,39,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.55,277,162,0.5848375451263538,0.8536892647094713,0.8687629871861269,0.8641975308641975,0.86922464633308,0.7924815649568677,0.918918918918919,0.8554216867469879,0.8333333333333334,0.7816091954022989,1.2338419871249073,0.28742785228411655,0.16544492352493903,23,0.9210526315789473,0.8333333333333334,0.875,42,0.9594594594594594,0.9044585987261147,83,0.68,0.7816091954022989,37,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.56,277,156,0.5631768953068592,0.8540319857694619,0.8708468001033,0.8653846153846154,0.8720458553791888,0.794971609218921,0.9142857142857143,0.8518518518518519,0.85,0.7710843373493976,1.2347939867824171,0.2824466823179603,0.1610997425046619,23,0.918918918918919,0.85,0.8831168831168831,40,0.971830985915493,0.9078947368421053,81,0.6666666666666666,0.7710843373493976,35,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.57,277,148,0.5342960288808665,0.8459240290226205,0.8644298221763012,0.8581081081081081,0.8661184210526316,0.7855231977588991,0.90625,0.8421052631578947,0.8421052631578947,0.7532467532467533,1.2618566167299459,0.28078931796034884,0.14625314660707855,23,0.918918918918919,0.85,0.8831168831168831,40,0.9696969696969697,0.9014084507042254,76,0.6444444444444445,0.7532467532467533,32,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.58,277,140,0.5054151624548736,0.8530619688514426,0.8705693026745658,0.8642857142857143,0.8694327567399096,0.7963901587166569,0.9032258064516129,0.855072463768116,0.85,0.7567567567567568,1.2857577034490881,0.2706120193092246,0.14458587197644798,23,0.9444444444444444,0.85,0.8947368421052632,40,0.9672131147540983,0.9076923076923077,69,0.6511627906976745,0.7567567567567568,31,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.59,277,135,0.48736462093862815,0.8633650793650793,0.8792211640211639,0.8740740740740741,0.8784770784770785,0.8098721393947544,0.9,0.8636363636363636,0.8636363636363636,0.7714285714285715,1.3058245833098696,0.263235384288648,0.14940458505844284,23,0.9444444444444444,0.8717948717948718,0.9066666666666666,39,0.9661016949152542,0.912,66,0.675,0.7714285714285715,30,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.6,277,130,0.4693140794223827,0.8758169934640523,0.8883861236802412,0.8846153846153846,0.8883025883025883,0.8247066620231857,0.9,0.873015873015873,0.873015873015873,0.7941176470588235,1.32322738516747,0.25202120483522655,0.15492370893566076,23,0.9428571428571428,0.8918918918918919,0.9166666666666666,37,0.9649122807017544,0.9166666666666666,63,0.7105263157894737,0.7941176470588235,30,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.61,277,124,0.44765342960288806,0.8800972501676728,0.8902978353994938,0.8870967741935484,0.8925417234885381,0.8291121164442905,0.896551724137931,0.864406779661017,0.864406779661017,0.8,1.3557317317455697,0.24648024295458085,0.1513369274005388,23,0.9428571428571428,0.9166666666666666,0.9295774647887324,36,0.9622641509433962,0.9107142857142857,59,0.7222222222222222,0.8,29,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.62,277,114,0.41155234657039713,0.893378346363421,0.9064187209316825,0.9035087719298246,0.9075579322638146,0.8530704734327647,0.92,0.8909090909090909,0.8909090909090909,0.8214285714285714,1.3536094458243157,0.22017777370691038,0.1570327612008693,23,0.9393939393939394,0.9117647058823529,0.9253731343283582,34,0.98,0.9333333333333333,55,0.7419354838709677,0.8214285714285714,25,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.63,277,110,0.3971119133574007,0.8879195037758656,0.9033303847032236,0.9,0.903866878991137,0.8477153595234023,0.9130434782608695,0.8867924528301887,0.8867924528301887,0.8076923076923077,1.350508982527752,0.21942685023738548,0.14906011916175352,23,0.9393939393939394,0.9117647058823529,0.9253731343283582,34,0.9791666666666666,0.9306930693069307,53,0.7241379310344828,0.8076923076923077,23,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.64,277,105,0.37906137184115524,0.8831309041835359,0.8988316946211683,0.8952380952380953,0.8993939393939394,0.8411844557646909,0.9090909090909091,0.88,0.88,0.8,1.3715333379513726,0.2196968696882172,0.13868395128161348,23,0.9375,0.9090909090909091,0.9230769230769231,33,0.9777777777777777,0.9263157894736842,50,0.7142857142857143,0.8,22,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.65,277,99,0.3574007220216607,0.8750752828713848,0.8930561914070161,0.8888888888888888,0.8928853754940711,0.8324076921922862,0.9,0.8695652173913043,0.8695652173913043,0.782608695652174,1.4052725676035704,0.22064612917797313,0.12555977689551373,23,0.9375,0.9090909090909091,0.9230769230769231,33,0.975609756097561,0.9195402298850575,46,0.6923076923076923,0.782608695652174,20,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.66,277,93,0.33574007220216606,0.8652000664641392,0.8866931046691865,0.8817204301075269,0.8852503529922885,0.8211064429984624,0.8888888888888888,0.8636363636363636,0.8636363636363636,0.7619047619047619,1.4112118475101985,0.22232078208249864,0.11140399180044123,23,0.9333333333333333,0.9032258064516129,0.9180327868852459,31,0.9743589743589743,0.9156626506024096,44,0.6666666666666666,0.7619047619047619,18,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.67,277,86,0.3104693140794224,0.9037976624183521,0.9207718742602463,0.9186046511627907,0.9159567275185937,0.8745943973217764,0.8823529411764706,0.9,0.8823529411764706,0.8108108108108109,1.445249121839425,0.1853654229679844,0.13960064416601028,23,0.9655172413793104,0.9655172413793104,0.9655172413793104,29,0.972972972972973,0.935064935064935,40,0.75,0.8108108108108109,17,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.68,277,83,0.2996389891696751,0.9019685056596178,0.9178090359152636,0.9156626506024096,0.9132540248158909,0.8712576327446416,0.8823529411764706,0.8918918918918919,0.8823529411764706,0.8108108108108109,1.4831623064884618,0.18568337260887324,0.13281969577617092,23,0.9655172413793104,0.9655172413793104,0.9655172413793104,29,0.9705882352941176,0.9295774647887324,37,0.75,0.8108108108108109,17,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.69,277,79,0.2851985559566787,0.8965529495380243,0.9137729076138296,0.9113924050632911,0.9083333333333333,0.864872665643488,0.875,0.8857142857142857,0.875,0.8,1.4994126483587151,0.18676922131271007,0.1352895233111543,23,0.9642857142857143,0.9642857142857143,0.9642857142857143,28,0.96875,0.9253731343283582,35,0.7368421052631579,0.8,16,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.7,277,74,0.26714801444043323,0.9147984412352228,0.9349917556814109,0.9324324324324325,0.9326015306407464,0.8962531513102725,0.9230769230769231,0.9117647058823529,0.9117647058823529,0.8275862068965517,1.4506622159220834,0.1595233174637605,0.13818701345890372,23,0.9629629629629629,0.9629629629629629,0.9629629629629629,27,1.0,0.9538461538461539,34,0.75,0.8275862068965517,13,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.71,277,69,0.2490974729241877,0.9257885583825796,0.9452770709321797,0.9420289855072463,0.9559294871794872,0.912692743264853,1.0,0.90625,0.90625,0.8461538461538461,1.4914537836048303,0.14729466778669087,0.14132786613226808,23,1.0,0.9615384615384616,0.9803921568627451,26,1.0,0.9508196721311475,32,0.7333333333333333,0.8461538461538461,11,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.72,277,65,0.23465703971119134,0.9237334094476952,0.9417795391421765,0.9384615384615385,0.952183908045977,0.9084702144829343,1.0,0.896551724137931,0.896551724137931,0.8461538461538461,1.5405580406032595,0.14863915828229413,0.13245929839339377,23,1.0,0.96,0.9795918367346939,25,1.0,0.9454545454545454,29,0.7333333333333333,0.8461538461538461,11,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.73,277,57,0.20577617328519857,0.9312956810631229,0.9502220667948942,0.9473684210526315,0.9592074592074592,0.9200973863888652,1.0,0.9230769230769231,0.9230769230769231,0.8571428571428571,1.5489055627133501,0.13474171097787274,0.1298047590466201,23,1.0,0.9545454545454546,0.9767441860465116,22,1.0,0.96,26,0.75,0.8571428571428571,9,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.74,277,49,0.17689530685920576,0.9158806729546164,0.9428662529883435,0.9387755102040817,0.9515151515151515,0.907023359301623,1.0,0.9,0.9,0.8235294117647058,1.6974631387700148,0.1371039287308507,0.10745862285942623,23,1.0,0.9545454545454546,0.9767441860465116,22,1.0,0.9473684210526315,20,0.7,0.8235294117647058,7,False
