group_type,group_name,token,count,rank
sentiment,Neutral,night,203,62
sentiment,Neutral,kan,201,63
sentiment,Neutral,tau,201,64
sentiment,Neutral,tiap,194,65
sentiment,Neutral,donk,191,66
sentiment,Neutral,jual,187,67
sentiment,Neutral,mois,179,68
sentiment,Neutral,yaa,175,69
sentiment,Neutral,kali,175,70
sentiment,Neutral,lain,171,71
sentiment,Neutral,pink,170,72
sentiment,Neutral,blm,170,73
sentiment,Neutral,punya,169,74
sentiment,Neutral,gmn,168,75
sentiment,Neutral,langsung,168,76
sentiment,Neutral,seruni,167,77
sentiment,Neutral,abis,165,78
sentiment,Neutral,ngga,164,79
sentiment,Neutral,make,164,80
sentiment,Neutral,seminggu,164,81
sentiment,Neutral,pas,161,82
sentiment,Neutral,segel,160,83
sentiment,Neutral,sunscreen,159,84
sentiment,Neutral,trs,158,85
sentiment,Neutral,malem,152,86
sentiment,Neutral,satu,152,87
sentiment,Neutral,flek,151,88
sentiment,Neutral,dlu,150,89
sentiment,Neutral,terus,146,90
sentiment,Neutral,trus,146,91
sentiment,Neutral,nitip,146,92
sentiment,Neutral,kuning,145,93
sentiment,Neutral,pemula,143,94
sentiment,Neutral,makasih,141,95
sentiment,Neutral,official,141,96
sentiment,Neutral,setiap,139,97
sentiment,Neutral,kaka,137,98
sentiment,Neutral,charismalux,137,99
sentiment,Neutral,setelah,134,100
sentiment,Negative,ada,655,1
sentiment,Negative,gak,601,2
sentiment,Negative,apa,485,3
sentiment,Negative,mau,475,4
sentiment,Negative,tapi,410,5
sentiment,Negative,sama,409,6
sentiment,Negative,beli,402,7
sentiment,Negative,maaf,400,8
sentiment,Negative,dok,375,9
sentiment,Negative,malah,362,10
sentiment,Negative,muka,357,11
sentiment,Negative,cocok,332,12
sentiment,Negative,minta,328,13
sentiment,Negative,baru,310,14
sentiment,Negative,lagi,298,15
sentiment,Negative,buat,286,16
sentiment,Negative,jerawat,281,17
sentiment,Negative,kalo,280,18
sentiment,Negative,udh,264,19
sentiment,Negative,takut,264,20
sentiment,Negative,kulit,254,21
sentiment,Negative,klo,225,22
sentiment,Negative,retinol,225,23
sentiment,Negative,masih,200,24
sentiment,Negative,dia,197,25
sentiment,Negative,mahal,183,26
sentiment,Negative,kan,179,27
sentiment,Negative,kaya,178,28
sentiment,Negative,gimana,170,29
sentiment,Negative,kalau,169,30
sentiment,Negative,mana,168,31
sentiment,Negative,tau,158,32
sentiment,Negative,panas,157,33
sentiment,Negative,kusam,147,34
sentiment,Negative,gitu,146,35
sentiment,Negative,banyak,146,36
sentiment,Negative,bukan,145,37
sentiment,Negative,doktif,145,38
sentiment,Negative,cream,144,39
sentiment,Negative,pke,142,40
sentiment,Negative,pernah,133,41
sentiment,Negative,jerawatan,131,42
sentiment,Negative,flek,130,43
sentiment,Negative,lama,126,44
sentiment,Negative,tpi,126,45
sentiment,Negative,kenapa,125,46
sentiment,Negative,dokter,124,47
sentiment,Negative,awal,123,48
sentiment,Negative,dulu,120,49
sentiment,Negative,bikin,119,50
sentiment,Negative,sekarang,117,51
sentiment,Negative,orang,117,52
sentiment,Negative,brutal,115,53
sentiment,Negative,soalnya,114,54
sentiment,Negative,owner,111,55
sentiment,Negative,lebih,105,56
sentiment,Negative,tidak,104,57
sentiment,Negative,mungkin,104,58
sentiment,Negative,knp,103,59
sentiment,Negative,bagus,102,60
sentiment,Negative,secara,101,61
sentiment,Negative,bruntusan,100,62
sentiment,Negative,pakek,100,63
sentiment,Negative,sdh,100,64
sentiment,Negative,pas,99,65
sentiment,Negative,percaya,97,66
sentiment,Negative,emang,96,67
sentiment,Negative,skrg,96,68
sentiment,Negative,jangan,95,69
sentiment,Negative,bingung,95,70
sentiment,Negative,cuma,94,71
sentiment,Negative,wajah,93,72
sentiment,Negative,serum,91,73
sentiment,Negative,beda,91,74
sentiment,Negative,berminyak,90,75
sentiment,Negative,susah,89,76
sentiment,Negative,jual,89,77
sentiment,Negative,langsung,88,78
sentiment,Negative,semua,88,79
sentiment,Negative,gmna,87,80
sentiment,Negative,masa,87,81
sentiment,Negative,padahal,86,82
sentiment,Negative,karna,86,83
sentiment,Negative,salah,85,84
sentiment,Negative,aman,85,85
sentiment,Negative,pengen,85,86
sentiment,Negative,terus,84,87
sentiment,Negative,make,84,88
sentiment,Negative,ang,83,89
sentiment,Negative,kering,82,90
sentiment,Negative,krn,81,91
sentiment,Negative,glow,80,92
sentiment,Negative,beruntusan,79,93
sentiment,Negative,habis,79,94
sentiment,Negative,harga,79,95
sentiment,Negative,lain,79,96
sentiment,Negative,kemarin,78,97
sentiment,Negative,jdi,77,98
sentiment,Negative,gini,77,99
sentiment,Negative,org,77,100
hcc_status,HCC,retinol,170,1
hcc_status,HCC,sama,109,2
hcc_status,HCC,niacinamide,104,3
hcc_status,HCC,gak,100,4
hcc_status,HCC,kulit,84,5
hcc_status,HCC,buat,79,6
hcc_status,HCC,cocok,72,7
hcc_status,HCC,boleh,71,8
hcc_status,HCC,mau,60,9
hcc_status,HCC,serum,59,10
hcc_status,HCC,ada,57,11
hcc_status,HCC,tapi,53,12
hcc_status,HCC,apa,52,13
hcc_status,HCC,bagus,50,14
hcc_status,HCC,beli,49,15
hcc_status,HCC,baru,46,16
hcc_status,HCC,hasilnya,45,17
hcc_status,HCC,enak,43,18
hcc_status,HCC,kalo,40,19
hcc_status,HCC,bener,40,20
hcc_status,HCC,jerawat,39,21
hcc_status,HCC,worth,38,22
hcc_status,HCC,emang,37,23
hcc_status,HCC,hari,37,24
hcc_status,HCC,muka,34,25
hcc_status,HCC,dipakai,34,26
hcc_status,HCC,bikin,34,27
hcc_status,HCC,pemakaian,33,28
hcc_status,HCC,lagi,33,29
hcc_status,HCC,tiap,32,30
hcc_status,HCC,cream,31,31
hcc_status,HCC,harga,31,32
hcc_status,HCC,klo,27,33
hcc_status,HCC,sekali,27,34
hcc_status,HCC,seneng,27,35
hcc_status,HCC,moist,26,36
hcc_status,HCC,pke,26,37
hcc_status,HCC,wah,26,38
hcc_status,HCC,kulitku,24,39
hcc_status,HCC,nemu,24,40
hcc_status,HCC,satu,23,41
hcc_status,HCC,skin,22,42
hcc_status,HCC,lumayan,22,43
hcc_status,HCC,pengen,22,44
hcc_status,HCC,makasih,22,45
hcc_status,HCC,sensitif,21,46
hcc_status,HCC,beneran,21,47
hcc_status,HCC,isinya,21,48
hcc_status,HCC,kalau,21,49
hcc_status,HCC,segitu,21,50
hcc_status,HCC,puas,21,51
hcc_status,HCC,ngerasain,21,52
hcc_status,HCC,vit,20,53
hcc_status,HCC,pas,20,54
hcc_status,HCC,pakek,20,55
hcc_status,HCC,lebih,20,56
hcc_status,HCC,salah,20,57
hcc_status,HCC,semoga,19,58
hcc_status,HCC,kombinasi,19,59
hcc_status,HCC,tetep,19,60
hcc_status,HCC,penting,19,61
hcc_status,HCC,pagi,19,62
hcc_status,HCC,wangi,19,63
hcc_status,HCC,cara,19,64
hcc_status,HCC,toner,18,65
hcc_status,HCC,udh,18,66
hcc_status,HCC,masih,18,67
hcc_status,HCC,packaging,18,68
hcc_status,HCC,teksturnya,18,69
hcc_status,HCC,nyari,18,70
hcc_status,HCC,rutin,18,71
hcc_status,HCC,terus,17,72
hcc_status,HCC,jujur,17,73
hcc_status,HCC,mana,17,74
hcc_status,HCC,moisturizer,16,75
hcc_status,HCC,aman,16,76
hcc_status,HCC,hyalu,16,77
hcc_status,HCC,bau,16,78
hcc_status,HCC,acne,16,79
hcc_status,HCC,flek,16,80
hcc_status,HCC,lucu,16,81
hcc_status,HCC,minggu,16,82
hcc_status,HCC,lembab,16,83
hcc_status,HCC,mulai,16,84
hcc_status,HCC,dikit,16,85
hcc_status,HCC,umur,15,86
hcc_status,HCC,kering,15,87
hcc_status,HCC,trs,15,88
hcc_status,HCC,pink,15,89
hcc_status,HCC,gampang,15,90
hcc_status,HCC,aneh,15,91
hcc_status,HCC,tipe,15,92
