candidate,sample_set,preprocessing_variant,threshold,n_reference_labeled,n_evaluated,coverage,macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,negative_recall,neutral_recall,min_per_class_recall,min_per_class_f1,log_loss,brier_score,ece,uncertain_or_no_text_labels_excluded,positive_precision,positive_recall,positive_f1,positive_support,neutral_precision,neutral_f1,neutral_support,negative_precision,negative_f1,negative_support,repeat,fold,reference_label_source,modeling_mode,notes
model_C_pseudo_label_experiment,development_cv,minimal_raw,,92,92,1.0,0.6953785916882476,0.7039272989753735,0.7065217391304348,0.7059662677372116,0.5519904338507681,0.5357142857142857,0.7560975609756098,0.5357142857142857,0.5660377358490566,1.1541875418077612,0.37576504082394846,0.1152120478466864,0,0.6785714285714286,0.8260869565217391,0.7450980392156863,23,0.7948717948717948,0.775,41,0.6,0.5660377358490566,28,5,3,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
model_A,development_cv,social_normalized,,93,93,1.0,0.4642453951277481,0.4739371897341537,0.4731182795698925,0.46835075493612077,0.1965150154197475,0.39285714285714285,0.5121951219512195,0.39285714285714285,0.43137254901960786,1.8514380628984966,0.6000920918211959,0.14282995404205337,0,0.3870967741935484,0.5,0.43636363636363634,24,0.5384615384615384,0.525,41,0.4782608695652174,0.43137254901960786,28,1,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_B,development_cv,social_normalized,,93,93,1.0,0.4935746486582399,0.4479936196144275,0.5268817204301075,0.6041424699961285,0.3985295985445387,0.8571428571428571,0.12195121951219512,0.12195121951219512,0.21739130434782608,2.6231460264474475,0.6670887023039274,0.2739857728402449,0,0.5405405405405406,0.8333333333333334,0.6557377049180327,24,1.0,0.21739130434782608,41,0.47058823529411764,0.6075949367088608,28,1,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,development_cv,social_normalized,,93,93,1.0,0.5214445648248466,0.4961600205035007,0.5376344086021505,0.5989643825009678,0.3937641234652458,0.7857142857142857,0.21951219512195122,0.21951219512195122,0.36,1.8977862399872898,0.5446286551931705,0.138393587112345,0,0.4634146341463415,0.7916666666666666,0.5846153846153846,24,1.0,0.36,41,0.5116279069767442,0.6197183098591549,28,1,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_C_pseudo_label_experiment,development_cv,social_normalized,,93,93,1.0,0.6499838969404187,0.6677533634616384,0.6774193548387096,0.6476480836236934,0.49728668212866833,0.4642857142857143,0.8536585365853658,0.4642857142857143,0.52,1.064985800970213,0.41293256824134156,0.10578082526278157,0,0.6818181818181818,0.625,0.6521739130434783,24,0.7142857142857143,0.7777777777777778,41,0.5909090909090909,0.52,28,1,1,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
model_A,development_cv,social_normalized,,92,92,1.0,0.4939949896846449,0.5062612924307077,0.5108695652173914,0.5115260314093825,0.2636197440585009,0.32142857142857145,0.5609756097560976,0.32142857142857145,0.375,1.961597300753185,0.6382134766254456,0.13519213548931017,0,0.42857142857142855,0.6521739130434783,0.5172413793103449,23,0.6216216216216216,0.5897435897435898,41,0.45,0.375,28,1,2,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_B,development_cv,social_normalized,,92,92,1.0,0.4184470076143582,0.3775879753811263,0.43478260869565216,0.5064889158208352,0.23191260601730812,0.5714285714285714,0.12195121951219512,0.12195121951219512,0.20408163265306123,2.5110281752173704,0.7736110726157598,0.3585159038159886,0,0.48717948717948717,0.8260869565217391,0.6129032258064516,23,0.625,0.20408163265306123,41,0.35555555555555557,0.4383561643835616,28,1,2,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,development_cv,social_normalized,,92,92,1.0,0.4531286689568204,0.43722404245544316,0.45652173913043476,0.5050623642882391,0.23667903996381018,0.4642857142857143,0.2682926829268293,0.2682926829268293,0.3793103448275862,1.9303414946797604,0.6194915148106509,0.18285508961601296,0,0.42857142857142855,0.782608695652174,0.5538461538461539,23,0.6470588235294118,0.3793103448275862,41,0.3939393939393939,0.4262295081967213,28,1,2,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_C_pseudo_label_experiment,development_cv,social_normalized,,92,92,1.0,0.7272118411358918,0.7386412279092521,0.7391304347826086,0.7287405948593647,0.6018007853772759,0.8214285714285714,0.7560975609756098,0.6086956521739131,0.6666666666666666,1.1748443006893496,0.3767653799334353,0.07264272359073808,0,0.7368421052631579,0.6086956521739131,0.6666666666666666,23,0.8157894736842105,0.7848101265822784,41,0.6571428571428571,0.7301587301587301,28,1,2,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
model_A,development_cv,social_normalized,,92,92,1.0,0.45382395382395385,0.46614436288349337,0.4673913043478261,0.4521537140837247,0.17053869719105919,0.42857142857142855,0.5365853658536586,0.391304347826087,0.4090909090909091,1.9471305060291548,0.637455094766721,0.15717733975514475,0,0.42857142857142855,0.391304347826087,0.4090909090909091,23,0.5116279069767442,0.5238095238095238,41,0.42857142857142855,0.42857142857142855,28,1,3,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_B,development_cv,social_normalized,,92,92,1.0,0.5013023633713288,0.4820736721036571,0.5108695652173914,0.5631848709791446,0.34029415959508713,0.75,0.24390243902439024,0.24390243902439024,0.38461538461538464,2.4350028941284827,0.7124198232741878,0.2886818422829831,0,0.45714285714285713,0.6956521739130435,0.5517241379310345,23,0.9090909090909091,0.38461538461538464,41,0.45652173913043476,0.5675675675675675,28,1,3,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,development_cv,social_normalized,,92,92,1.0,0.5615868028279655,0.551368728440179,0.5652173913043478,0.6101979498055851,0.40511993250157485,0.75,0.34146341463414637,0.34146341463414637,0.49122807017543857,1.8571864946938332,0.5718273423886852,0.07248848530923838,0,0.4594594594594595,0.7391304347826086,0.5666666666666667,23,0.875,0.49122807017543857,41,0.5384615384615384,0.6268656716417911,28,1,3,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_C_pseudo_label_experiment,development_cv,social_normalized,,92,92,1.0,0.6267433734743958,0.6468703961607027,0.6521739130434783,0.6259531384133717,0.45726064251169357,0.4642857142857143,0.8048780487804879,0.4642857142857143,0.49056603773584906,1.0725529848258826,0.44663841436137863,0.05423388706272197,0,0.6363636363636364,0.6086956521739131,0.6222222222222222,23,0.7333333333333333,0.7674418604651163,41,0.52,0.49056603773584906,28,1,3,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
model_A,development_cv,social_normalized,,93,93,1.0,0.5528767761472163,0.5578623866308995,0.5591397849462365,0.5582171893147503,0.32526764539763814,0.4642857142857143,0.5853658536585366,0.4642857142857143,0.5,1.9792271362917382,0.6104329368589524,0.11538919956998309,0,0.5172413793103449,0.625,0.5660377358490566,24,0.6,0.5925925925925926,41,0.5416666666666666,0.5,28,2,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_B,development_cv,social_normalized,,93,93,1.0,0.48505172448834416,0.4519826682480022,0.5053763440860215,0.572783584978707,0.3467518460288166,0.7142857142857143,0.17073170731707318,0.17073170731707318,0.2857142857142857,2.5658802186225715,0.7304724440343986,0.2986883098685613,0,0.47619047619047616,0.8333333333333334,0.6060606060606061,24,0.875,0.2857142857142857,41,0.46511627906976744,0.5633802816901409,28,2,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,development_cv,social_normalized,,93,93,1.0,0.5319595205789235,0.5157985731168205,0.5376344086021505,0.5896244676732482,0.3731713675508822,0.6428571428571429,0.2926829268292683,0.2926829268292683,0.43636363636363634,1.9529293205448683,0.576032957400364,0.11010995122721329,0,0.46511627906976744,0.8333333333333334,0.5970149253731343,24,0.8571428571428571,0.43636363636363634,41,0.5,0.5625,28,2,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_C_pseudo_label_experiment,development_cv,social_normalized,,93,93,1.0,0.7461748633879782,0.7535342852106469,0.7526881720430108,0.7347560975609756,0.6193171669781757,0.75,0.8292682926829268,0.625,0.6885245901639344,1.1680345237798235,0.39680404397372515,0.12690645058688607,0,0.9375,0.625,0.75,24,0.7727272727272727,0.8,41,0.6363636363636364,0.6885245901639344,28,2,1,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
model_A,development_cv,social_normalized,,92,92,1.0,0.4007506050896121,0.41605412127695746,0.42391304347826086,0.40712265818310356,0.10347857944107441,0.25,0.5365853658536586,0.25,0.30434782608695654,1.880685441457829,0.6471118661225921,0.20800202407150767,0,0.35714285714285715,0.43478260869565216,0.39215686274509803,23,0.4782608695652174,0.5057471264367817,41,0.3888888888888889,0.30434782608695654,28,2,2,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
