actor_type_primary,weekday_name_id,weekday_number,hour_local,n_comments,n_unique_actors,n_unique_videos,comment_share_within_actor_type
Community Actor,Selasa,2,4,6,4,1,0.00631578947368421
Community Actor,Selasa,2,5,7,6,3,0.007368421052631579
Community Actor,Selasa,2,6,7,7,2,0.007368421052631579
Community Actor,Selasa,2,7,9,5,1,0.009473684210526316
Community Actor,Selasa,2,8,5,5,2,0.005263157894736842
Community Actor,Selasa,2,9,5,5,2,0.005263157894736842
Community Actor,Selasa,2,10,11,11,6,0.011578947368421053
Community Actor,Selasa,2,11,14,10,3,0.014736842105263158
Community Actor,Selasa,2,12,3,3,3,0.003157894736842105
Community Actor,Selasa,2,13,10,10,4,0.010526315789473684
Community Actor,Selasa,2,14,6,5,6,0.00631578947368421
Community Actor,Selasa,2,15,2,2,2,0.002105263157894737
Community Actor,Selasa,2,16,6,6,3,0.00631578947368421
Community Actor,Selasa,2,17,17,14,4,0.017894736842105262
Community Actor,Selasa,2,18,7,7,1,0.007368421052631579
Community Actor,Selasa,2,19,0,0,0,0.0
Community Actor,Selasa,2,20,22,17,5,0.023157894736842106
Community Actor,Selasa,2,21,3,3,3,0.003157894736842105
Community Actor,Selasa,2,22,7,7,5,0.007368421052631579
Community Actor,Selasa,2,23,7,7,2,0.007368421052631579
Community Actor,Rabu,3,0,15,6,2,0.015789473684210527
Community Actor,Rabu,3,1,0,0,0,0.0
Community Actor,Rabu,3,2,0,0,0,0.0
Community Actor,Rabu,3,3,0,0,0,0.0
Community Actor,Rabu,3,4,0,0,0,0.0
Community Actor,Rabu,3,5,0,0,0,0.0
Community Actor,Rabu,3,6,1,1,1,0.0010526315789473684
Community Actor,Rabu,3,7,12,12,4,0.01263157894736842
Community Actor,Rabu,3,8,11,11,3,0.011578947368421053
Community Actor,Rabu,3,9,10,10,4,0.010526315789473684
Community Actor,Rabu,3,10,3,3,2,0.003157894736842105
Community Actor,Rabu,3,11,5,5,3,0.005263157894736842
Community Actor,Rabu,3,12,11,7,3,0.011578947368421053
Community Actor,Rabu,3,13,7,7,2,0.007368421052631579
Community Actor,Rabu,3,14,6,6,3,0.00631578947368421
Community Actor,Rabu,3,15,3,3,3,0.003157894736842105
Community Actor,Rabu,3,16,4,4,4,0.004210526315789474
Community Actor,Rabu,3,17,14,14,5,0.014736842105263158
Community Actor,Rabu,3,18,3,3,3,0.003157894736842105
Community Actor,Rabu,3,19,14,14,5,0.014736842105263158
Community Actor,Rabu,3,20,5,5,5,0.005263157894736842
Community Actor,Rabu,3,21,7,7,1,0.007368421052631579
Community Actor,Rabu,3,22,10,10,4,0.010526315789473684
Community Actor,Rabu,3,23,1,1,1,0.0010526315789473684
Community Actor,Kamis,4,0,0,0,0,0.0
Community Actor,Kamis,4,1,0,0,0,0.0
Community Actor,Kamis,4,2,0,0,0,0.0
Community Actor,Kamis,4,3,0,0,0,0.0
Community Actor,Kamis,4,4,0,0,0,0.0
Community Actor,Kamis,4,5,6,6,2,0.00631578947368421
Community Actor,Kamis,4,6,3,3,3,0.003157894736842105
Community Actor,Kamis,4,7,2,2,2,0.002105263157894737
Community Actor,Kamis,4,8,20,20,5,0.021052631578947368
Community Actor,Kamis,4,9,3,3,2,0.003157894736842105
Community Actor,Kamis,4,10,5,5,5,0.005263157894736842
Community Actor,Kamis,4,11,4,4,2,0.004210526315789474
Community Actor,Kamis,4,12,4,4,4,0.004210526315789474
Community Actor,Kamis,4,13,3,3,3,0.003157894736842105
Community Actor,Kamis,4,14,2,2,2,0.002105263157894737
Community Actor,Kamis,4,15,13,13,4,0.01368421052631579
Community Actor,Kamis,4,16,33,28,8,0.034736842105263156
Community Actor,Kamis,4,17,28,25,8,0.029473684210526315
Community Actor,Kamis,4,18,1,1,1,0.0010526315789473684
Community Actor,Kamis,4,19,20,14,4,0.021052631578947368
Community Actor,Kamis,4,20,12,11,5,0.01263157894736842
Community Actor,Kamis,4,21,9,9,4,0.009473684210526316
Community Actor,Kamis,4,22,6,6,3,0.00631578947368421
Community Actor,Kamis,4,23,3,3,2,0.003157894736842105
Community Actor,Jumat,5,0,2,2,2,0.002105263157894737
Community Actor,Jumat,5,1,7,7,2,0.007368421052631579
Community Actor,Jumat,5,2,0,0,0,0.0
Community Actor,Jumat,5,3,0,0,0,0.0
Community Actor,Jumat,5,4,1,1,1,0.0010526315789473684
Community Actor,Jumat,5,5,7,7,3,0.007368421052631579
Community Actor,Jumat,5,6,1,1,1,0.0010526315789473684
Community Actor,Jumat,5,7,0,0,0,0.0
Community Actor,Jumat,5,8,8,8,3,0.008421052631578947
Community Actor,Jumat,5,9,1,1,1,0.0010526315789473684
Community Actor,Jumat,5,10,4,4,2,0.004210526315789474
Community Actor,Jumat,5,11,0,0,0,0.0
Community Actor,Jumat,5,12,26,21,7,0.02736842105263158
Community Actor,Jumat,5,13,4,4,4,0.004210526315789474
Community Actor,Jumat,5,14,1,1,1,0.0010526315789473684
Community Actor,Jumat,5,15,9,9,4,0.009473684210526316
Community Actor,Jumat,5,16,6,5,2,0.00631578947368421
Community Actor,Jumat,5,17,4,4,4,0.004210526315789474
Community Actor,Jumat,5,18,1,1,1,0.0010526315789473684
Community Actor,Jumat,5,19,11,6,1,0.011578947368421053
Community Actor,Jumat,5,20,5,5,1,0.005263157894736842
Community Actor,Jumat,5,21,6,6,3,0.00631578947368421
Community Actor,Jumat,5,22,4,4,4,0.004210526315789474
Community Actor,Jumat,5,23,1,1,1,0.0010526315789473684
Community Actor,Sabtu,6,0,4,4,3,0.004210526315789474
Community Actor,Sabtu,6,1,0,0,0,0.0
Community Actor,Sabtu,6,2,2,2,2,0.002105263157894737
Community Actor,Sabtu,6,3,0,0,0,0.0
Community Actor,Sabtu,6,4,0,0,0,0.0
Community Actor,Sabtu,6,5,5,5,1,0.005263157894736842
Community Actor,Sabtu,6,6,13,8,3,0.01368421052631579
Community Actor,Sabtu,6,7,2,2,2,0.002105263157894737
Community Actor,Sabtu,6,8,10,10,4,0.010526315789473684
Community Actor,Sabtu,6,9,0,0,0,0.0
Community Actor,Sabtu,6,10,11,9,2,0.011578947368421053
Community Actor,Sabtu,6,11,19,18,7,0.02
Community Actor,Sabtu,6,12,5,5,5,0.005263157894736842
Community Actor,Sabtu,6,13,2,2,2,0.002105263157894737
Community Actor,Sabtu,6,14,1,1,1,0.0010526315789473684
Community Actor,Sabtu,6,15,7,7,3,0.007368421052631579
Community Actor,Sabtu,6,16,7,7,3,0.007368421052631579
Community Actor,Sabtu,6,17,15,15,7,0.015789473684210527
Community Actor,Sabtu,6,18,8,8,4,0.008421052631578947
Community Actor,Sabtu,6,19,0,0,0,0.0
Community Actor,Sabtu,6,20,8,8,4,0.008421052631578947
Community Actor,Sabtu,6,21,10,10,2,0.010526315789473684
Community Actor,Sabtu,6,22,9,9,4,0.009473684210526316
Community Actor,Sabtu,6,23,7,7,2,0.007368421052631579
Community Actor,Minggu,7,0,1,1,1,0.0010526315789473684
Community Actor,Minggu,7,1,2,2,2,0.002105263157894737
Community Actor,Minggu,7,2,1,1,1,0.0010526315789473684
Community Actor,Minggu,7,3,2,2,2,0.002105263157894737
Community Actor,Minggu,7,4,0,0,0,0.0
Community Actor,Minggu,7,5,0,0,0,0.0
