hcc_id,community_size,primary_brand,brand_label_auto,goal_orientation,dominant_sentiment,positive_ratio,neutral_ratio,negative_ratio,narrative_similarity_level,n_comments,n_valid_timestamp_comments,n_unique_commenting_accounts,n_active_videos,n_active_dates,n_active_weeks,comments_Senin,comments_Selasa,comments_Rabu,comments_Kamis,comments_Jumat,comments_Sabtu,comments_Minggu,share_Senin,share_Selasa,share_Rabu,share_Kamis,share_Jumat,share_Sabtu,share_Minggu,dominant_weekday,dominant_weekday_comment_count,dominant_weekday_share,second_weekday,second_weekday_share,weekday_entropy_normalized,weekday_concentration_score,weekday_concentration_level,weekend_comment_share,dominant_daypart,peak_hour,dominant_weekday_active_weeks,dominant_weekday_week_coverage,temporal_profile_reliability
87,5,Daviena,Mixed_2_Brands,Mixed Goals,Mixed,0.4,0.48,0.12,Low,25,25,5,5,6,5,4,6,0,5,5,5,0,0.16,0.24,0.0,0.2,0.2,0.2,0.0,Selasa,6,0.24,Kamis,0.2,0.8229484325323312,0.1770515674676688,Low weekday concentration,0.2,Sore,16,2,0.4,Descriptively sufficient
90,4,Azarine,Mixed_3plus_Brands,Neutral Engagement,Neutral,0.0833333333333333,0.8333333333333334,0.0833333333333333,Low,12,12,4,3,3,3,0,4,4,0,4,0,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,Selasa,4,0.3333333333333333,Rabu,0.3333333333333333,0.5645750340535796,0.43542496594642044,High weekday concentration,0.0,Malam,15,1,0.3333333333333333,Descriptively sufficient
99,6,The Originote,The Originote,Promotional / Supportive,Positive,0.8214285714285714,0.1071428571428571,0.0714285714285714,Medium,28,22,6,2,2,2,11,0,0,11,0,0,0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,Senin,11,0.5,Kamis,0.5,0.3562071871080222,0.6437928128919779,Insufficient,0.0,Pagi,10,1,0.5,Limited recurrence
103,5,Daviena,Daviena,Neutral Engagement,Neutral,0.1333333333333333,0.7333333333333333,0.1333333333333333,Low,30,30,5,6,29,21,2,3,5,5,4,5,6,0.06666666666666667,0.1,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.16666666666666666,0.2,Minggu,6,0.2,Rabu,0.16666666666666666,0.9749762821613742,0.02502371783862578,Low weekday concentration,0.36666666666666664,Pagi,17,6,0.2857142857142857,Descriptively sufficient
113,6,Maryame,Maryame,Promotional / Supportive,Positive,1.0,0.0,0.0,Medium,28,28,6,3,3,3,6,11,0,11,0,0,0,0.21428571428571427,0.39285714285714285,0.0,0.39285714285714285,0.0,0.0,0.0,Selasa,11,0.39285714285714285,Kamis,0.39285714285714285,0.5468882936427882,0.45311170635721176,High weekday concentration,0.0,Sore,16,1,0.3333333333333333,Descriptively sufficient
114,6,Maryame,Maryame,Promotional / Supportive,Positive,0.9285714285714286,0.0714285714285714,0.0,Medium,28,28,6,3,3,3,0,0,0,6,11,11,0,0.0,0.0,0.0,0.21428571428571427,0.39285714285714285,0.39285714285714285,0.0,Jumat,11,0.39285714285714285,Sabtu,0.39285714285714285,0.5468882936427882,0.45311170635721176,High weekday concentration,0.39285714285714285,Pagi,6,1,0.3333333333333333,Descriptively sufficient
117,6,The Originote,The Originote,Neutral Engagement,Neutral,0.1111111111111111,0.8333333333333334,0.0555555555555555,Low,18,18,6,3,3,3,0,0,6,6,0,6,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,Rabu,6,0.3333333333333333,Kamis,0.3333333333333333,0.5645750340535796,0.43542496594642044,High weekday concentration,0.3333333333333333,Siang,13,1,0.3333333333333333,Descriptively sufficient
132,4,Azarine,Mixed_3plus_Brands,Mixed Goals,Neutral,0.1666666666666666,0.5833333333333334,0.25,Low,12,12,4,3,3,3,0,4,4,4,0,0,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,Selasa,4,0.3333333333333333,Rabu,0.3333333333333333,0.5645750340535796,0.43542496594642044,High weekday concentration,0.0,Pagi,8,1,0.3333333333333333,Descriptively sufficient
134,3,Daviena,Daviena,Mixed Goals,Neutral,0.3333333333333333,0.5333333333333333,0.1333333333333333,Low,15,15,3,6,6,6,0,2,3,3,2,3,2,0.0,0.13333333333333333,0.2,0.2,0.13333333333333333,0.2,0.13333333333333333,Rabu,3,0.2,Kamis,0.2,0.9104346141251393,0.08956538587486074,Low weekday concentration,0.3333333333333333,Siang,20,1,0.16666666666666666,Descriptively sufficient
150,6,Maryame,Maryame,Mixed Goals,Mixed,0.375,0.3958333333333333,0.2291666666666666,Low,48,48,6,8,29,20,14,9,2,8,5,8,2,0.2916666666666667,0.1875,0.041666666666666664,0.16666666666666666,0.10416666666666667,0.16666666666666666,0.041666666666666664,Senin,14,0.2916666666666667,Selasa,0.1875,0.9100816504267417,0.08991834957325828,Low weekday concentration,0.20833333333333334,Pagi,7,4,0.2,Descriptively sufficient
168,5,Daviena,Daviena,Promotional / Supportive,Positive,1.0,0.0,0.0,Low,23,9,5,1,1,1,0,9,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Selasa,9,1.0,Senin,0.0,-0.0,1.0,Insufficient,0.0,Pagi,7,1,1.0,Insufficient observations
180,4,Azarine,Azarine,Promotional / Supportive,Positive,1.0,0.0,0.0,Low,18,14,4,2,2,2,7,7,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Senin,7,0.5,Selasa,0.5,0.3562071871080222,0.6437928128919779,Insufficient,0.0,Sore,17,1,0.5,Limited recurrence
181,5,Daviena,Daviena,Promotional / Supportive,Positive,1.0,0.0,0.0,Medium,23,9,5,1,1,1,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Minggu,9,1.0,Senin,0.0,-0.0,1.0,Insufficient,1.0,Siang,13,1,1.0,Insufficient observations
182,6,Not identified,Not identified,Mixed Goals,Neutral,0.1111111111111111,0.5,0.3888888888888889,Low,18,18,6,3,3,3,6,0,6,0,6,0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,Senin,6,0.3333333333333333,Rabu,0.3333333333333333,0.5645750340535796,0.43542496594642044,High weekday concentration,0.0,Pagi,1,1,0.3333333333333333,Descriptively sufficient
183,7,The Originote,The Originote,Mixed Goals,Neutral,0.238095238095238,0.5238095238095238,0.238095238095238,Low,21,21,7,3,4,3,0,0,14,0,0,6,1,0.0,0.0,0.6666666666666666,0.0,0.0,0.2857142857142857,0.047619047619047616,Rabu,14,0.6666666666666666,Sabtu,0.2857142857142857,0.3973562746972977,0.6026437253027024,High weekday concentration,0.3333333333333333,Malam,7,2,0.6666666666666666,Descriptively sufficient
191,5,The Originote,The Originote,Promotional / Supportive,Positive,0.9130434782608696,0.0,0.0869565217391304,Medium,23,23,5,3,3,3,9,9,0,5,0,0,0,0.391304347826087,0.391304347826087,0.0,0.21739130434782608,0.0,0.0,0.0,Senin,9,0.391304347826087,Selasa,0.391304347826087,0.5478409930036074,0.45215900699639255,High weekday concentration,0.0,Sore,16,1,0.3333333333333333,Descriptively sufficient
204,4,Azarine,Azarine,Promotional / Supportive,Positive,0.9444444444444444,0.0,0.0555555555555555,Low,18,11,4,2,2,2,0,4,0,7,0,0,0,0.0,0.36363636363636365,0.0,0.6363636363636364,0.0,0.0,0.0,Kamis,7,0.6363636363636364,Selasa,0.36363636363636365,0.33685099706150945,0.6631490029384906,Insufficient,0.0,Sore,17,1,0.5,Limited recurrence
205,5,The Originote,The Originote,Promotional / Supportive,Positive,1.0,0.0,0.0,Medium,23,23,5,3,3,3,0,0,14,0,0,0,9,0.0,0.0,0.6086956521739131,0.0,0.0,0.0,0.391304347826087,Rabu,14,0.6086956521739131,Minggu,0.391304347826087,0.34396653083781187,0.6560334691621881,High weekday concentration,0.391304347826087,Dini Hari,0,2,0.6666666666666666,Descriptively sufficient
206,5,Maryame,Maryame,Promotional / Supportive,Positive,0.9130434782608696,0.0,0.0869565217391304,Medium,23,9,5,1,1,1,0,0,9,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Rabu,9,1.0,Senin,0.0,-0.0,1.0,Insufficient,0.0,Siang,12,1,1.0,Insufficient observations
