hcc_id,daypart,n_comments,n_unique_community_actors,n_unique_videos,brand_label_auto,goal_orientation,n_valid_timestamp_comments,dominant_daypart,temporal_profile_reliability,comment_share_within_hcc
52,Siang,5,5,1,Daviena,Mixed Goals,40,Malam,Descriptively sufficient,0.125
52,Sore,10,5,2,Daviena,Mixed Goals,40,Malam,Descriptively sufficient,0.25
52,Malam,15,5,3,Daviena,Mixed Goals,40,Malam,Descriptively sufficient,0.375
54,Dini Hari,7,5,5,Azarine,Mixed Goals,74,Malam,Descriptively sufficient,0.0945945945945946
54,Pagi,21,11,7,Azarine,Mixed Goals,74,Malam,Descriptively sufficient,0.28378378378378377
54,Siang,16,8,7,Azarine,Mixed Goals,74,Malam,Descriptively sufficient,0.21621621621621623
54,Sore,8,6,4,Azarine,Mixed Goals,74,Malam,Descriptively sufficient,0.10810810810810811
54,Malam,22,10,7,Azarine,Mixed Goals,74,Malam,Descriptively sufficient,0.2972972972972973
60,Dini Hari,3,3,1,Daviena,Mixed Goals,11,Dini Hari,Descriptively sufficient,0.2727272727272727
60,Pagi,3,2,2,Daviena,Mixed Goals,11,Dini Hari,Descriptively sufficient,0.2727272727272727
60,Siang,2,1,2,Daviena,Mixed Goals,11,Dini Hari,Descriptively sufficient,0.18181818181818182
60,Sore,3,3,1,Daviena,Mixed Goals,11,Dini Hari,Descriptively sufficient,0.2727272727272727
60,Malam,0,0,0,Daviena,Mixed Goals,11,Dini Hari,Descriptively sufficient,0.0
63,Dini Hari,1,1,1,Mixed_3plus_Brands,Mixed Goals,22,Malam,Descriptively sufficient,0.045454545454545456
63,Pagi,5,2,3,Mixed_3plus_Brands,Mixed Goals,22,Malam,Descriptively sufficient,0.22727272727272727
63,Siang,2,2,2,Mixed_3plus_Brands,Mixed Goals,22,Malam,Descriptively sufficient,0.09090909090909091
63,Sore,2,1,2,Mixed_3plus_Brands,Mixed Goals,22,Malam,Descriptively sufficient,0.09090909090909091
63,Malam,12,3,6,Mixed_3plus_Brands,Mixed Goals,22,Malam,Descriptively sufficient,0.5454545454545454
74,Dini Hari,0,0,0,Daviena,Mixed Goals,12,Siang,Descriptively sufficient,0.0
74,Pagi,3,3,1,Daviena,Mixed Goals,12,Siang,Descriptively sufficient,0.25
74,Siang,6,3,2,Daviena,Mixed Goals,12,Siang,Descriptively sufficient,0.5
74,Sore,0,0,0,Daviena,Mixed Goals,12,Siang,Descriptively sufficient,0.0
74,Malam,3,3,1,Daviena,Mixed Goals,12,Siang,Descriptively sufficient,0.25
75,Dini Hari,0,0,0,Mixed_2_Brands,Mixed Goals,16,Malam,Descriptively sufficient,0.0
75,Pagi,0,0,0,Mixed_2_Brands,Mixed Goals,16,Malam,Descriptively sufficient,0.0
75,Siang,4,4,1,Mixed_2_Brands,Mixed Goals,16,Malam,Descriptively sufficient,0.25
75,Sore,4,4,1,Mixed_2_Brands,Mixed Goals,16,Malam,Descriptively sufficient,0.25
75,Malam,8,4,2,Mixed_2_Brands,Mixed Goals,16,Malam,Descriptively sufficient,0.5
87,Dini Hari,1,1,1,Mixed_2_Brands,Mixed Goals,25,Sore,Descriptively sufficient,0.04
87,Pagi,0,0,0,Mixed_2_Brands,Mixed Goals,25,Sore,Descriptively sufficient,0.0
87,Siang,0,0,0,Mixed_2_Brands,Mixed Goals,25,Sore,Descriptively sufficient,0.0
87,Sore,14,5,3,Mixed_2_Brands,Mixed Goals,25,Sore,Descriptively sufficient,0.56
87,Malam,10,5,3,Mixed_2_Brands,Mixed Goals,25,Sore,Descriptively sufficient,0.4
90,Dini Hari,0,0,0,Mixed_3plus_Brands,Neutral Engagement,12,Malam,Descriptively sufficient,0.0
90,Pagi,0,0,0,Mixed_3plus_Brands,Neutral Engagement,12,Malam,Descriptively sufficient,0.0
90,Siang,0,0,0,Mixed_3plus_Brands,Neutral Engagement,12,Malam,Descriptively sufficient,0.0
90,Sore,4,4,1,Mixed_3plus_Brands,Neutral Engagement,12,Malam,Descriptively sufficient,0.3333333333333333
90,Malam,8,4,2,Mixed_3plus_Brands,Neutral Engagement,12,Malam,Descriptively sufficient,0.6666666666666666
99,Dini Hari,0,0,0,The Originote,Promotional / Supportive,22,Pagi,Limited recurrence,0.0
99,Pagi,11,6,1,The Originote,Promotional / Supportive,22,Pagi,Limited recurrence,0.5
99,Siang,0,0,0,The Originote,Promotional / Supportive,22,Pagi,Limited recurrence,0.0
99,Sore,0,0,0,The Originote,Promotional / Supportive,22,Pagi,Limited recurrence,0.0
99,Malam,11,6,1,The Originote,Promotional / Supportive,22,Pagi,Limited recurrence,0.5
103,Dini Hari,1,1,1,Daviena,Neutral Engagement,30,Pagi,Descriptively sufficient,0.03333333333333333
103,Pagi,9,4,5,Daviena,Neutral Engagement,30,Pagi,Descriptively sufficient,0.3
103,Siang,6,4,5,Daviena,Neutral Engagement,30,Pagi,Descriptively sufficient,0.2
103,Sore,7,5,4,Daviena,Neutral Engagement,30,Pagi,Descriptively sufficient,0.23333333333333334
103,Malam,7,3,5,Daviena,Neutral Engagement,30,Pagi,Descriptively sufficient,0.23333333333333334
113,Dini Hari,0,0,0,Maryame,Promotional / Supportive,28,Sore,Descriptively sufficient,0.0
113,Pagi,6,6,1,Maryame,Promotional / Supportive,28,Sore,Descriptively sufficient,0.21428571428571427
113,Siang,0,0,0,Maryame,Promotional / Supportive,28,Sore,Descriptively sufficient,0.0
113,Sore,11,6,1,Maryame,Promotional / Supportive,28,Sore,Descriptively sufficient,0.39285714285714285
113,Malam,11,6,1,Maryame,Promotional / Supportive,28,Sore,Descriptively sufficient,0.39285714285714285
114,Dini Hari,0,0,0,Maryame,Promotional / Supportive,28,Pagi,Descriptively sufficient,0.0
114,Pagi,11,6,1,Maryame,Promotional / Supportive,28,Pagi,Descriptively sufficient,0.39285714285714285
