username,actor_id_anonymous,display_name,actor_type_primary,individual_subtype,is_video_creator,is_verified_registry_actor,individual_identification_source,individual_verification_level,is_hcc_member,individual_in_hcc,community,is_lcn_member,mass_position_secondary,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,avg_sentiment_confidence,target_brand_primary,target_brand_label,target_scope,target_source,target_confidence,creator_target_brand_primary,creator_target_brand_label,creator_target_scope,creator_product_category_primary,creator_video_count,creator_target_confidence,creator_target_source,account_goal_orientation,account_goal_confidence,is_goal_evaluable,goal_evaluation_reason,exposure_level,hcc_association_status,primary_associated_hcc,associated_hcc_ids,n_associated_hcc,primary_association_basis,is_ambiguous_hcc_association,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_hcc_comment_pair_count,strong_association_score,contextual_association_score,sentiment_alignment,hcc_dominant_sentiment
MASS_50c534bba84c,MASS_50c534bba84c,.black_orchid,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,0.0,0.0,0.0,0.0,,,,No evaluable sentiment,0.3674885663978801,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,No valid text,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;20;34,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
MASS_1563342c2a82,MASS_1563342c2a82,.cappucinosusu,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.7603082585040966,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,3;43;5;62,4.0,Multiple shared-video contexts only,True,4.0,0.0,0.0,0.0,0.0,4.0,Ambiguous HCC Association,
MASS_db44f0a43989,MASS_db44f0a43989,.cloud_25,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.8164428055763376,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;14;150;34;74,5.0,Multiple shared-video contexts only,True,5.0,0.0,0.0,0.0,0.0,5.0,Ambiguous HCC Association,
MASS_0fbf329b05d2,MASS_0fbf329b05d2,.desember112,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,0.0,0.0,0.0,0.0,,,,No evaluable sentiment,0.3811500826816046,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,No valid text,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;20;34,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
MASS_bc0e11c166b2,MASS_bc0e11c166b2,.dfw02,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.893220945240883,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;14;150;34;74,5.0,Multiple shared-video contexts only,True,5.0,0.0,0.0,0.0,0.0,5.0,Ambiguous HCC Association,
MASS_76fbdfa1db32,MASS_76fbdfa1db32,.dicky_7,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.7860443001662667,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;14;150;34;74,5.0,Multiple shared-video contexts only,True,5.0,0.0,0.0,0.0,0.0,5.0,Ambiguous HCC Association,
MASS_3e58b1d76279,MASS_3e58b1d76279,.elmamirza,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Negative,0.6837816183293182,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,112;150;43;46,4.0,Multiple shared-video contexts only,True,4.0,0.0,0.0,0.0,0.0,4.0,Ambiguous HCC Association,
MASS_ea297b60fbde,MASS_ea297b60fbde,.em.min,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Positive,0.5346482203665225,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;20;34,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
MASS_9e276e4b1028,MASS_9e276e4b1028,.fav_02,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.6806533396635324,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,1;150;86;90,4.0,Multiple shared-video contexts only,True,4.0,0.0,0.0,0.0,0.0,4.0,Ambiguous HCC Association,
MASS_69ed8423a1fe,MASS_69ed8423a1fe,.fh.p3,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.5590995091012804,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;15;16;182;184;86,6.0,Multiple shared-video contexts only,True,6.0,0.0,0.0,0.0,0.0,6.0,Ambiguous HCC Association,
