individual_username,individual_subtype,hcc_id,shared_video_count,creator_video_count,hcc_account_count,hcc_comment_count,first_hcc_comment_timestamp,last_hcc_comment_timestamp,target_brand,hcc_goal_orientation,association_type
skinby_sindy,Video Creator,48,1,1,5,5,2025-12-29 08:16:01+00:00,2025-12-29 08:17:02+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
skinby_sindy,Video Creator,54,1,1,8,8,2025-12-23 02:34:56+00:00,2025-12-24 09:23:37+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
skinby_sindy,Video Creator,63,1,1,2,2,2026-01-03 11:57:54+00:00,2026-01-03 13:04:00+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
skincarebyw,Video Creator,17,1,1,2,2,2024-09-26 15:09:39+00:00,2024-09-26 17:23:14+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
skincarebyw,Video Creator,204,1,1,4,7,2024-08-01 10:33:14+00:00,2024-08-01 10:35:34+00:00,Azarine,Promotional / Supportive,Observed Creator-Community Context
skincarebyw,Video Creator,34,1,1,2,2,2024-10-03 06:16:22+00:00,2024-10-03 09:00:39+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
skincarebyw,Video Creator,52,1,1,5,5,2024-09-16 06:15:23+00:00,2024-09-16 06:18:06+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
skincarebyw,Video Creator,54,1,1,9,9,2024-07-29 12:49:37+00:00,2025-01-04 05:22:33+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
soufberry,Video Creator,134,1,1,2,2,2022-08-05 05:42:54+00:00,2022-08-05 05:46:34+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
soufberry,Video Creator,17,1,1,2,2,2022-07-29 09:29:58+00:00,2022-07-29 09:53:46+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
soufberry,Video Creator,5,1,1,8,8,2022-07-29 15:40:35+00:00,2025-09-18 09:09:31+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
soufberry,Video Creator,99,1,1,6,6,,,The Originote,Promotional / Supportive,Observed Creator-Community Context
susiyuliani30,Video Creator,182,1,1,6,6,2023-01-18 02:50:06+00:00,2023-01-18 02:52:09+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
susiyuliani30,Video Creator,20,1,1,3,3,2023-01-15 10:20:37+00:00,2023-01-15 10:23:33+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
susiyuliani30,Video Creator,87,1,1,5,5,2023-02-07 09:37:11+00:00,2023-02-07 10:39:52+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
theoriginote,Video Creator,117,1,3,6,6,2025-05-10 15:20:03+00:00,2025-05-10 15:22:34+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
theoriginote,Video Creator,205,1,3,5,9,2025-01-19 01:52:31+00:00,2025-01-19 01:55:32+00:00,The Originote,Promotional / Supportive,Observed Creator-Community Context
theoriginote,Video Creator,3,1,3,5,5,2023-01-13 13:21:15+00:00,2023-01-13 13:23:39+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
theoriginote,Video Creator,45,1,3,4,4,2023-01-14 10:32:45+00:00,2023-01-14 10:33:40+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
theoriginote,Video Creator,48,1,3,5,5,2025-02-13 08:47:36+00:00,2025-02-13 08:48:54+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
theoriginote,Video Creator,5,3,3,8,24,2023-02-21 15:21:05+00:00,2025-09-29 23:02:57+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
theoriginote,Video Creator,63,1,3,2,2,2023-03-01 00:17:44+00:00,2023-03-01 02:55:49+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
thisisalulaa,Video Creator,20,1,1,3,3,2024-06-13 14:46:56+00:00,2024-06-13 14:48:49+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
tiarach18,Video Creator,183,1,1,7,7,2022-08-24 10:13:04+00:00,2022-08-24 12:50:51+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
tiarach18,Video Creator,191,1,1,5,9,2022-08-29 21:58:25+00:00,2022-08-29 22:01:08+00:00,The Originote,Promotional / Supportive,Observed Creator-Community Context
vivianmarguerre,Video Creator,1,1,1,3,3,2023-12-28 04:54:51+00:00,2023-12-28 04:56:33+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
vivianmarguerre,Video Creator,54,1,1,10,11,2023-08-03 11:33:14+00:00,2024-10-07 16:28:56+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
vivianmarguerre,Video Creator,90,1,1,4,4,2024-09-10 13:44:01+00:00,2024-09-10 13:46:09+00:00,Azarine,Neutral Engagement,Observed Creator-Community Context
yulyadew123,Video Creator,14,1,1,3,3,2024-10-03 10:55:34+00:00,2024-10-03 10:57:39+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
yulyadew123,Video Creator,20,1,1,3,3,2024-10-05 04:38:32+00:00,2024-10-05 04:39:57+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
yulyadew123,Video Creator,34,1,1,2,2,2024-10-02 23:33:29+00:00,2024-10-03 01:51:01+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
