individual_username,individual_subtype,hcc_id,shared_video_count,creator_video_count,hcc_account_count,hcc_comment_count,first_hcc_comment_timestamp,last_hcc_comment_timestamp,target_brand,hcc_goal_orientation,association_type
jesyjeyn,Video Creator,49,1,1,6,6,2024-04-21 08:39:54+00:00,2024-04-21 10:56:46+00:00,Daviena/Davina,Neutral Engagement,Observed Creator-Community Context
juliadoang08,Video Creator,134,1,1,3,3,2024-03-13 09:02:33+00:00,2024-03-13 13:52:35+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
juliadoang08,Video Creator,15,1,1,6,6,2024-08-13 10:24:30+00:00,2024-08-13 10:26:33+00:00,Daviena/Davina,Neutral Engagement,Observed Creator-Community Context
juliadoang08,Video Creator,16,1,1,5,5,2024-02-29 09:44:22+00:00,2024-02-29 09:46:35+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
juliadoang08,Video Creator,181,1,1,5,5,,,Daviena/Davina,Promotional / Supportive,Observed Creator-Community Context
juliadoang08,Video Creator,183,1,1,7,7,2024-04-20 14:57:55+00:00,2024-04-20 17:24:51+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
juliadoang08,Video Creator,87,1,1,5,5,2024-04-18 09:45:12+00:00,2024-04-18 10:02:06+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
lookatmeeh__,Video Creator,5,1,1,8,8,2023-07-21 19:17:20+00:00,2025-01-10 10:42:34+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
maharajasp8,Video Creator,103,1,1,5,5,2023-12-13 11:13:16+00:00,2024-01-07 01:15:55+00:00,Daviena/Davina,Neutral Engagement,Observed Creator-Community Context
maharajasp8,Video Creator,50,1,1,6,6,2024-07-20 16:51:14+00:00,2024-07-20 16:53:14+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
maharajasp8,Video Creator,54,1,1,2,2,2023-12-15 17:36:35+00:00,2023-12-15 17:45:17+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
maharajasp8,Video Creator,63,1,1,2,2,2023-12-14 12:19:58+00:00,2023-12-14 13:31:04+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
maryame.official,Video Creator,114,2,5,6,22,2024-11-15 12:34:04+00:00,2025-08-29 23:28:37+00:00,Maryame,Promotional / Supportive,Observed Creator-Community Context
maryame.official,Video Creator,17,2,5,8,9,2024-10-13 23:27:15+00:00,2024-10-14 08:23:55+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
maryame.official,Video Creator,2,1,5,6,6,2024-10-17 01:02:14+00:00,2024-10-17 01:05:17+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
