username_norm,username,mass_network_position,shared_hcc_video_count,n_hcc_accounts_shared_video,direct_reply_with_hcc_count,mass_replies_to_hcc_count,hcc_replies_to_mass_count,temporal_after_hcc_count,associated_hcc_count,mass_exposure_score,min_minutes_after_hcc,median_minutes_after_hcc,associated_hcc_ids,primary_associated_hcc,association_basis,mass_exposure_level,associated_hcc_brand_context
rronnythiasfandora,rronnythiasfandora,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
rrrafphj145,rrrafphj145,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rrreeeeeeyy,rrreeeeeeyy,Outside LCN,1,22,0,0,0,0,5,1,,,16;52;63;103;181,16,Shared video context,Shared-Video Exposure,Daviena
rrrlp23,rrrlp23,Outside LCN,1,31,0,0,0,0,6,1,,,15;16;87;134;181;183,15,Shared video context,Shared-Video Exposure,The Originote
rrrraa000,rrrraa000,Outside LCN,1,18,0,0,0,5,5,11,4.966666666666667,7.566666666666666,14;34;75;134;150,14,Temporal association after HCC comment,Temporal-Context Exposure,Daviena
rrrrr.16_,rrrrr.16_,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rrrrrr6011,rrrrrr6011,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rrrrrrrrrrriri,rrrrrrrrrrriri,Outside LCN,1,22,0,0,0,0,5,1,,,16;52;63;103;181,16,Shared video context,Shared-Video Exposure,Daviena
rrvnamnda,rrvnamnda,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rrwiku04,rrwiku04,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rrya888,rrya888,Outside LCN,1,18,0,0,0,4,5,9,0.7166666666666667,17.133333333333333,14;34;75;134;150,14,Temporal association after HCC comment,Temporal-Context Exposure,Daviena
rryeliya,rryeliya,Outside LCN,1,19,0,0,0,0,4,1,,,3;5;45;63,3,Shared video context,Shared-Video Exposure,Maryame
