candidate_id,coverage_target,confidence_threshold,actual_coverage,covered_accuracy,covered_macro_f1,full_set_accuracy_abstain_wrong,n_abstained,locked_test_used
seed_majority_vote__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,1.0,0.0,1.0,0.7686796315250768,0.7235641943704261,0.7686796315250768,0,False
seed_prob_average__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,0.9343,0.5500260293483734,0.9344933469805528,0.8105147864184009,0.7587245736724294,0.7574206755373593,64,False
seed_prob_average__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,0.95,0.5305690169334412,0.9508700102354145,0.8019375672766416,0.7504030964000753,0.7625383828045036,48,False
seed_prob_average__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,1.0,0.0,1.0,0.7830092118730808,0.7315115157922092,0.7830092118730808,0,False
seed_majority_vote__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,0.9343,0.6666666666666666,0.9866939611054247,0.7925311203319502,0.7446155619927882,0.781985670419652,13,False
seed_majority_vote__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,0.95,0.6666666666666666,0.9866939611054247,0.7925311203319502,0.7446155619927882,0.781985670419652,13,False
seed_majority_vote__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,1.0,0.0,1.0,0.7840327533265097,0.7358743184489462,0.7840327533265097,0,False
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,0.9343,0.5335584133863449,0.9344933469805528,0.8072289156626506,0.7564579641668319,0.7543500511770727,64,False
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,0.95,0.5126095563173294,0.9508700102354145,0.8051668460710442,0.7555967053901161,0.7656090071647902,48,False
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,1.0,0.0,1.0,0.7840327533265097,0.7360452947912964,0.7840327533265097,0,False
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,0.9343,0.6666666666666666,0.9907881269191402,0.7913223140495868,0.7451620402739266,0.7840327533265097,9,False
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,0.95,0.6666666666666666,0.9907881269191402,0.7913223140495868,0.7451620402739266,0.7840327533265097,9,False
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,1.0,0.0,1.0,0.7850562947799385,0.738586806846126,0.7850562947799385,0,False
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,0.9343,0.5237030982971191,0.9344933469805528,0.8083242059145673,0.7617289058407329,0.7553735926305015,64,False
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,0.95,0.5105925848086675,0.9508700102354145,0.8008611410118407,0.754983515993941,0.7615148413510747,48,False
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,1.0,0.0,1.0,0.7809621289662231,0.7335595781259078,0.7809621289662231,0,False
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,0.9343,0.6666666666666666,0.9866939611054247,0.7894190871369294,0.7459670140994875,0.7789150460593655,13,False
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,0.95,0.6666666666666666,0.9866939611054247,0.7894190871369294,0.7459670140994875,0.7789150460593655,13,False
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,1.0,0.0,1.0,0.7809621289662231,0.7372874831590428,0.7809621289662231,0,False
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,0.9343,0.5308575530846914,0.9344933469805528,0.8159912376779846,0.7646837060168038,0.7625383828045036,64,False
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,0.95,0.5109760065873464,0.9508700102354145,0.8127018299246501,0.7637100971481453,0.7727737973387923,48,False
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,1.0,0.0,1.0,0.789150460593654,0.7376082185611637,0.789150460593654,0,False
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,0.9343,0.6666666666666666,0.9877175025588536,0.794818652849741,0.747015615868075,0.7850562947799385,12,False
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,0.95,0.6666666666666666,0.9877175025588536,0.794818652849741,0.747015615868075,0.7850562947799385,12,False
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,1.0,0.0,1.0,0.7881269191402251,0.7408617843500753,0.7881269191402251,0,False
top2_probability_blend__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__PLUS__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,0.9343,0.5297177831331888,0.9344933469805528,0.8181818181818182,0.7703800492449405,0.7645854657113613,64,False
top2_probability_blend__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__PLUS__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,0.95,0.5050463229417801,0.9508700102354145,0.8094725511302476,0.7607913093926874,0.7697031729785057,48,False
top2_probability_blend__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__PLUS__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,1.0,0.0,1.0,0.7911975435005117,0.7440157075228736,0.7911975435005117,0,False
