stage,trial_id,n_seeds,input_mode,max_length,learning_rate,classifier_dropout,loss,label_smoothing,model_id,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_weighted_f1,std_weighted_f1,min_weighted_f1,max_weighted_f1,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_mcc,std_mcc,min_mcc,max_mcc,mean_min_class_recall,std_min_class_recall,min_min_class_recall,max_min_class_recall,mean_positive_recall,std_positive_recall,min_positive_recall,max_positive_recall,mean_selection_score,std_selection_score,min_selection_score,max_selection_score,mean_negative_prediction_share,std_negative_prediction_share,min_negative_prediction_share,max_negative_prediction_share,auto_disqualified_any_seed,selected_for_stage2
stage1,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p3__weighted_cross_entropy__ls0p025,1,context_sep_comment,128,2e-05,0.3,weighted_cross_entropy,0.025,indobenchmark/indobert-base-p2,0.72978505629478,0.0,0.72978505629478,0.72978505629478,0.6759192864426881,0.0,0.6759192864426881,0.6759192864426881,0.7386766686829371,0.0,0.7386766686829371,0.7386766686829371,0.6939924372443821,0.0,0.6939924372443821,0.6939924372443821,0.5555966117280344,0.0,0.5555966117280344,0.5555966117280344,0.5842696629213483,0.0,0.5842696629213483,0.5842696629213483,0.717391304347826,0.0,0.717391304347826,0.717391304347826,0.6506360293102705,0.0,0.6506360293102705,0.6506360293102705,0.2036847492323439,0.0,0.2036847492323439,0.2036847492323439,False,False
stage1,indobert_base_p2__comment_only__len128__lr1em05__drop0p1__cross_entropy__ls0p0,1,comment_only,128,1e-05,0.1,cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7645854657113613,0.0,0.7645854657113613,0.7645854657113613,0.698049598257601,0.0,0.698049598257601,0.698049598257601,0.7620410079948522,0.0,0.7620410079948522,0.7620410079948522,0.6933043598459059,0.0,0.6933043598459059,0.6933043598459059,0.583544322480957,0.0,0.583544322480957,0.583544322480957,0.5056179775280899,0.0,0.5056179775280899,0.5056179775280899,0.7043478260869566,0.0,0.7043478260869566,0.7043478260869566,0.6496062798575978,0.0,0.6496062798575978,0.6496062798575978,0.1699078812691914,0.0,0.1699078812691914,0.1699078812691914,True,False
stage1,indobert_base_p2__comment_only__len128__lr2em05__drop0p2__focal_loss_gamma_1.5__ls0p0,1,comment_only,128,2e-05,0.2,focal_loss_gamma_1.5,0.0,indobenchmark/indobert-base-p2,0.7574206755373593,0.0,0.7574206755373593,0.7574206755373593,0.6884712060345919,0.0,0.6884712060345919,0.6884712060345919,0.755136448235263,0.0,0.755136448235263,0.755136448235263,0.6909972414515476,0.0,0.6909972414515476,0.6909972414515476,0.5768364218412988,0.0,0.5768364218412988,0.5768364218412988,0.4606741573033708,0.0,0.4606741573033708,0.4606741573033708,0.7652173913043478,0.0,0.7652173913043478,0.7652173913043478,0.647439300235243,0.0,0.647439300235243,0.647439300235243,0.1606960081883316,0.0,0.1606960081883316,0.1606960081883316,True,False
stage1,indobert_base_p2__comment_only__len128__lr3em05__drop0p3__cross_entropy__ls0p0,1,comment_only,128,3e-05,0.3,cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7523029682702149,0.0,0.7523029682702149,0.7523029682702149,0.6898283894953584,0.0,0.6898283894953584,0.6898283894953584,0.75312803570279,0.0,0.75312803570279,0.75312803570279,0.6905416903127986,0.0,0.6905416903127986,0.6905416903127986,0.5682484500309986,0.0,0.5682484500309986,0.5682484500309986,0.5393258426966292,0.0,0.5393258426966292,0.5393258426966292,0.6869565217391305,0.0,0.6869565217391305,0.6869565217391305,0.6457726285214738,0.0,0.6457726285214738,0.6457726285214738,0.1893551688843398,0.0,0.1893551688843398,0.1893551688843398,True,False
stage1,indobert_base_p2__context_sep_comment__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,1,context_sep_comment,128,1e-05,0.2,weighted_cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7205731832139202,0.0,0.7205731832139202,0.7205731832139202,0.6692149425928373,0.0,0.6692149425928373,0.6692149425928373,0.7309916835238877,0.0,0.7309916835238877,0.7309916835238877,0.689923442338782,0.0,0.689923442338782,0.689923442338782,0.5426304906264519,0.0,0.5426304906264519,0.5426304906264519,0.6460674157303371,0.0,0.6460674157303371,0.6460674157303371,0.6521739130434783,0.0,0.6521739130434783,0.6521739130434783,0.6445793807180245,0.0,0.6445793807180245,0.6445793807180245,0.2374616171954964,0.0,0.2374616171954964,0.2374616171954964,False,False
stage1,indobert_base_p2__comment_only__len128__lr3em05__drop0p2__focal_loss_gamma_1.5__ls0p025,1,comment_only,128,3e-05,0.2,focal_loss_gamma_1.5,0.025,indobenchmark/indobert-base-p2,0.7451381780962129,0.0,0.7451381780962129,0.7451381780962129,0.6829575622817435,0.0,0.6829575622817435,0.6829575622817435,0.7477596139142931,0.0,0.7477596139142931,0.7477596139142931,0.6838005179397229,0.0,0.6838005179397229,0.6838005179397229,0.5576227185076263,0.0,0.5576227185076263,0.5576227185076263,0.5730337078651685,0.0,0.5730337078651685,0.5730337078651685,0.6347826086956522,0.0,0.6347826086956522,0.6347826086956522,0.6374533942488394,0.0,0.6374533942488394,0.6374533942488394,0.2139201637666325,0.0,0.2139201637666325,0.2139201637666325,False,False
stage1,indobert_base_p2__comment_only__len128__lr3em05__drop0p3__focal_loss_gamma_2.0__ls0p025,1,comment_only,128,3e-05,0.3,focal_loss_gamma_2.0,0.025,indobenchmark/indobert-base-p2,0.744114636642784,0.0,0.744114636642784,0.744114636642784,0.6750127983532489,0.0,0.6750127983532489,0.6750127983532489,0.7436072997123192,0.0,0.7436072997123192,0.7436072997123192,0.6803511160831187,0.0,0.6803511160831187,0.6803511160831187,0.5583955043586784,0.0,0.5583955043586784,0.5583955043586784,0.4662921348314606,0.0,0.4662921348314606,0.4662921348314606,0.7434782608695653,0.0,0.7434782608695653,0.7434782608695653,0.6351738148639646,0.0,0.6351738148639646,0.6351738148639646,0.1596724667349027,0.0,0.1596724667349027,0.1596724667349027,True,False
stage1,indobert_base_p2__comment_only__len128__lr1em05__drop0p3__focal_loss_gamma_1.0__ls0p025,1,comment_only,128,1e-05,0.3,focal_loss_gamma_1.0,0.025,indobenchmark/indobert-base-p2,0.7482088024564995,0.0,0.7482088024564995,0.7482088024564995,0.6684587409079089,0.0,0.6684587409079089,0.6684587409079089,0.7438715449601044,0.0,0.7438715449601044,0.7438715449601044,0.6672023213132282,0.0,0.6672023213132282,0.6672023213132282,0.5564398102484597,0.0,0.5564398102484597,0.5564398102484597,0.4325842696629213,0.0,0.4325842696629213,0.4325842696629213,0.7043478260869566,0.0,0.7043478260869566,0.7043478260869566,0.6197933660246215,0.0,0.6197933660246215,0.6197933660246215,0.1484135107471852,0.0,0.1484135107471852,0.1484135107471852,True,False
stage2,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,3,context_sep_comment,128,2e-05,0.2,cross_entropy,0.025,indobenchmark/indobert-base-p2,0.7737973387922211,0.006840647443112702,0.7666325486182191,0.7830092118730808,0.7250399859286422,0.005574826001027321,0.7195982672791819,0.7327013716441209,0.7773676430551785,0.006396102577060945,0.7708558407143733,0.7860606863949695,0.7368363283192562,0.004463959459088576,0.7308962291824606,0.7416575444826311,0.6169919541050972,0.008799137210488178,0.6093703508495275,0.6293215934666644,0.6161048689138576,0.01853838003110798,0.5898876404494382,0.6292134831460674,0.7695652173913045,0.04094042577340735,0.7304347826086957,0.8260869565217391,0.6985660328524167,0.005291734191053811,0.6912931483795361,0.7037297405229752,0.1975435005117707,0.006840647443112759,0.1903787103377686,0.2067553735926305,False,True
stage2,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,3,context_sep_comment,128,3e-05,0.3,cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7775503241214602,0.004602776377765925,0.7737973387922211,0.7840327533265097,0.7260281901779213,0.004014700070770431,0.7205119376034966,0.7299503367135532,0.7793979870326472,0.004533750290391325,0.7757494619704735,0.7857882692961107,0.7342826319244292,0.004383972076640779,0.728453229596572,0.7390255475528363,0.6190690983316428,0.006177273040796963,0.6138258811260224,0.6277421165497286,0.5842696629213483,0.024272437072688623,0.550561797752809,0.6067415730337079,0.782608695652174,0.027726270245955056,0.7434782608695653,0.8043478260869565,0.6960866635877961,0.004764805138446981,0.6899091202205969,0.7015064265778651,0.18560218355510058,0.007942986507555691,0.1760491299897645,0.195496417604913,False,True
stage2,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,3,context_sep_comment,128,3e-05,0.1,weighted_cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7662913681337428,0.006755028957087474,0.7574206755373593,0.7737973387922211,0.7208447969348241,0.006619684874572423,0.711486727477627,0.7257479829151907,0.7714111512410863,0.006238186623471417,0.7629032078173079,0.7776859229300209,0.7345049604171144,0.0073359518663034095,0.7256583927384268,0.74362164013864,0.6062368510125162,0.010332324715541233,0.591625030699412,0.6136229571430418,0.649812734082397,0.01909745136177074,0.6235955056179775,0.6685393258426966,0.7405797101449275,0.030606829104265047,0.7,0.7739130434782608,0.695232996560418,0.008707517036226936,0.6844802992102469,0.7058070278129597,0.21767314909587168,0.005929084679966826,0.2098259979529171,0.2241555783009212,False,True
stage2,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,3,comment_only,128,1e-05,0.2,weighted_cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7656090071647902,0.000835718097162465,0.7645854657113613,0.7666325486182191,0.7170650573114878,0.001965979984428208,0.7142913744309093,0.7186181167028153,0.7714976583836793,0.0007811019318013699,0.7703957157101335,0.7721155034818217,0.7337355202916962,0.001810764369648004,0.7315861667910145,0.7360158135027784,0.6091116355391973,0.0005819871221644839,0.6084543620405598,0.6098692911418775,0.6142322097378278,0.011543846447507427,0.601123595505618,0.6292134831460674,0.7797101449275362,0.005422691864889788,0.7739130434782608,0.7869565217391304,0.6952074990520947,0.0018658503556122305,0.6930222402463224,0.6975809794565238,0.20914363698396451,0.005869891004464405,0.2016376663254862,0.2159672466734902,False,True
stage2,indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,3,comment_only,128,3e-05,0.1,weighted_cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7714090754008871,0.010515888780226827,0.759467758444217,0.7850562947799385,0.7196040575473179,0.010410630990714726,0.7082753647455565,0.733411953296593,0.7752957062679391,0.009707865248006497,0.763966931951966,0.78767635175058,0.7316200226144308,0.00755205513889904,0.7222061862573975,0.7406955869234673,0.6134069399222079,0.014558116602525246,0.5954986528436447,0.6311575645165993,0.5917602996254682,0.01474533309740043,0.5786516853932584,0.6123595505617978,0.7782608695652175,0.016268075594669314,0.7608695652173914,0.8,0.6929800360428043,0.008444460345988806,0.6823106028887498,0.7029608007180369,0.19617877857386554,0.0004825020683633648,0.195496417604913,0.1965199590583418,False,True
