candidate_id,candidate_type,trial_id,seed,component_seeds,stage,n,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,min_class_recall,positive_recall,selection_score_raw,selection_score,selection_penalty,seed_instability_penalty,class_collapse,negative_prediction_share,negative_prediction_drift,probability_finite,probability_sum_valid,oof_complete,auto_disqualified,ece,brier_score,negative_precision,negative_recall,negative_f1,negative_support,predicted_negative,neutral_precision,neutral_recall,neutral_f1,neutral_support,predicted_neutral,positive_precision,positive_f1,positive_support,predicted_positive
seed_majority_vote__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,seed_majority_vote,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,"42,52,62","42,52,62",stage2,977,0.7850562947799385,0.738586806846126,0.7882384556888766,0.748873356611716,0.6338221353613918,0.6292134831460674,0.782608695652174,0.7122119416648861,0.7011490638679015,0.01106287779698457,0.01106287779698457,False,0.19959058341862845,0.01740020470829068,True,True,True,False,0.15080177413851928,0.12297661018234202,0.5743589743589743,0.6292134831460674,0.6005361930294906,178,195,0.8878504672897196,0.8347978910369068,0.8605072463768116,569,535,0.728744939271255,0.7547169811320755,230,247
single__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025__seed52,single_seed,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,52,52,stage2,977,0.7666325486182191,0.7195982672791819,0.7708558407143733,0.7379552112926772,0.6122839179990998,0.5898876404494382,0.8260869565217391,0.7006752096547384,0.7006752096547384,0.0,0.0,False,0.19037871033776868,0.008188331627430906,True,True,True,False,0.09354556573816064,0.12115537742518395,0.5645161290322581,0.5898876404494382,0.5769230769230769,178,186,0.899009900990099,0.7978910369068541,0.845437616387337,569,505,0.6643356643356644,0.7364341085271318,230,286
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,seed_probability_average,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,"42,52,62","42,52,62",stage2,977,0.7840327533265097,0.7360452947912964,0.786791122363344,0.7461539298082638,0.6318968761679589,0.6123595505617978,0.7913043478260869,0.7093727073175767,0.6983098295205922,0.01106287779698457,0.01106287779698457,False,0.19344933469805528,0.011258955987717506,True,True,True,False,0.06698057318950862,0.10721205565834219,0.5767195767195767,0.6123595505617978,0.5940054495912807,178,189,0.8878504672897196,0.8347978910369068,0.8605072463768116,569,535,0.7193675889328063,0.7536231884057971,230,253
single__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0__seed62,single_seed,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,62,62,stage2,977,0.7656090071647902,0.7186181167028153,0.771981755959083,0.7360158135027784,0.6098692911418775,0.6292134831460674,0.7739130434782608,0.6975809794565238,0.6975809794565238,0.0,0.0,False,0.21596724667349027,0.03377686796315249,True,True,True,False,0.0699209961334783,0.11826490783060424,0.5308056872037915,0.6292134831460674,0.5758354755784062,178,211,0.9015748031496063,0.804920913884007,0.8505106778087279,569,508,0.689922480620155,0.7295081967213115,230,258
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed42,single_seed,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,42,42,stage2,977,0.7840327533265097,0.7299503367135532,0.7857882692961107,0.7353691186238795,0.6277421165497286,0.6067415730337079,0.7434782608695653,0.6968444439649265,0.6968444439649265,0.0,0.0,False,0.18526100307062435,0.0030706243602865724,True,True,True,False,0.09844172928203948,0.1156140993657697,0.5966850828729282,0.6067415730337079,0.6016713091922006,178,181,0.8870673952641166,0.8558875219683656,0.8711985688729875,569,549,0.6923076923076923,0.7169811320754716,230,247
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed62,single_seed,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,62,62,stage2,977,0.7737973387922211,0.7257479829151907,0.7776859229300209,0.7342348483742765,0.6136229571430418,0.6235955056179775,0.7478260869565218,0.6954116626580473,0.6954116626580473,0.0,0.0,False,0.2098259979529171,0.027635619242579318,True,True,True,False,0.11529380452181442,0.124328282215542,0.5414634146341464,0.6235955056179775,0.5796344647519582,178,205,0.8759259259259259,0.8312829525483304,0.8530207394048692,569,540,0.7413793103448276,0.7445887445887446,230,232
seed_prob_average__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,seed_probability_average,indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,"42,52,62","42,52,62",stage2,977,0.7830092118730808,0.7315115157922092,0.7850076634420297,0.7404374470018994,0.6288560829485179,0.5786516853932584,0.8043478260869565,0.703336972253822,0.6950896076162401,0.008247364637581857,0.008247364637581857,False,0.18730808597748208,0.005117707267144306,True,True,True,False,0.08188506184841163,0.10771014667940752,0.5628415300546448,0.5786516853932584,0.5706371191135734,178,183,0.8849721706864564,0.8383128295254832,0.8610108303249098,569,539,0.7254901960784313,0.7628865979381443,230,255
single__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0__seed52,single_seed,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,52,52,stage2,977,0.7666325486182191,0.7182856808007392,0.7721155034818217,0.7336045805812956,0.6090112534351546,0.6123595505617978,0.7782608695652173,0.6950192774534381,0.6950192774534381,0.0,0.0,False,0.2098259979529171,0.027635619242579318,True,True,True,False,0.06763085067089165,0.11671498458036944,0.5317073170731708,0.6123595505617978,0.5691906005221932,178,205,0.8951456310679612,0.8101933216168717,0.8505535055350554,569,515,0.6964980544747081,0.7351129363449692,230,257
seed_prob_average__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,seed_probability_average,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,"42,52,62","42,52,62",stage2,977,0.7686796315250768,0.7202276904781009,0.7737101902859612,0.7347762267441545,0.6113859120448725,0.6123595505617978,0.7782608695652173,0.6963163949726368,0.6947222631783403,0.0015941317942964961,0.0015941317942964961,False,0.2067553735926305,0.024564994882292718,True,True,True,False,0.043974722925915456,0.11055805879546887,0.5396039603960396,0.6123595505617978,0.5736842105263158,178,202,0.8938223938223938,0.8137082601054482,0.8518859245630175,569,518,0.6964980544747081,0.7351129363449692,230,257
single__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed62,single_seed,indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,62,62,stage2,977,0.7697031729785057,0.7171248545998045,0.7742438351012715,0.7319582946624278,0.6135646024063797,0.5786516853932584,0.8,0.6936687045216267,0.6936687045216267,0.0,0.0,False,0.19651995905834185,0.014329580348004078,True,True,True,False,0.10160343365757096,0.12349824897441286,0.5364583333333334,0.5786516853932584,0.5567567567567567,178,192,0.9011627906976745,0.8172231985940246,0.8571428571428571,569,516,0.6840148698884758,0.7374749498997996,230,269
seed_prob_average__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,seed_probability_average,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,"42,52,62","42,52,62",stage2,977,0.7809621289662231,0.7335595781259078,0.7841017434938117,0.7409092821334835,0.624332351867619,0.6348314606741573,0.7478260869565218,0.7028849599246104,0.6933731921857347,0.009511767738875741,0.009511767738875741,False,0.20573183213920163,0.02354145342886385,True,True,True,False,0.05009003022766434,0.10759137186539304,0.5621890547263682,0.6348314606741573,0.5963060686015831,178,201,0.8770642201834863,0.8400702987697716,0.8581687612208259,569,545,0.7445887445887446,0.7462039045553145,230,231
single__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0__seed42,single_seed,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,42,42,stage2,977,0.7645854657113613,0.7142913744309093,0.7703957157101335,0.7315861667910145,0.6084543620405598,0.601123595505618,0.7869565217391304,0.6930222402463224,0.6930222402463224,0.0,0.0,False,0.2016376663254862,0.019447287615148412,True,True,True,False,0.07784261381369897,0.12089742317068725,0.5431472081218274,0.601123595505618,0.5706666666666667,178,197,0.9071146245059288,0.8066783831282952,0.8539534883720931,569,506,0.6605839416058394,0.7182539682539683,230,274
single__stage2__indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025__seed62,single_seed,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,62,62,stage2,977,0.7717502558853634,0.722820318862624,0.7751864020561928,0.7308962291824606,0.6093703508495275,0.6292134831460674,0.7304347826086957,0.6912931483795361,0.6912931483795361,0.0,0.0,False,0.2067553735926305,0.024564994882292718,True,True,True,False,0.11525587019193134,0.12089363137205289,0.5544554455445545,0.6292134831460674,0.5894736842105263,178,202,0.8745387453874539,0.8330404217926186,0.8532853285328533,569,542,0.721030042918455,0.7257019438444925,230,233
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed52,single_seed,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,52,52,stage2,977,0.77482088024565,0.7205119376034966,0.7757494619704735,0.728453229596572,0.6138258811260224,0.550561797752809,0.8,0.6899091202205969,0.6899091202205969,0.0,0.0,False,0.17604912998976457,0.0061412487205732,True,True,True,False,0.11125248353337318,0.11512465367718516,0.5697674418604651,0.550561797752809,0.56,178,172,0.8763837638376384,0.8347978910369068,0.8550855085508551,569,542,0.6996197718631179,0.7464503042596349,230,263
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed42,single_seed,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,42,42,stage2,977,0.7574206755373593,0.711486727477627,0.7629032078173079,0.7256583927384268,0.591625030699412,0.6685393258426966,0.7,0.6844802992102469,0.6844802992102469,0.0,0.0,False,0.2241555783009212,0.041965199590583424,True,True,True,False,0.10433486845256604,0.12554198440175982,0.54337899543379,0.6685393258426966,0.5994962216624685,178,219,0.8795411089866156,0.8084358523725835,0.8424908424908425,569,523,0.6851063829787234,0.6924731182795699,230,235
single__stage2__indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed52,single_seed,indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,52,52,stage2,977,0.759467758444217,0.7082753647455565,0.763966931951966,0.7222061862573975,0.5954986528436447,0.5842696629213483,0.7739130434782608,0.6823106028887498,0.6823106028887498,0.0,0.0,False,0.19651995905834185,0.014329580348004078,True,True,True,False,0.14134530974752224,0.1300516538689137,0.5416666666666666,0.5842696629213483,0.5621621621621622,178,192,0.888030888030888,0.8084358523725835,0.8463661453541859,569,518,0.6666666666666666,0.716297786720322,230,267
