input_mode,max_length,learning_rate,classifier_dropout,loss,label_smoothing,warmup_ratio,weight_decay,model_id,trial_id,stage,seed,fold,best_epoch,max_epochs,early_stopping_patience,class_weights_source,class_weights_negative,class_weights_neutral,class_weights_positive,model_revision,training_seconds,n,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,min_class_recall,positive_recall,selection_score_raw,selection_score,class_collapse,auto_disqualified,negative_prediction_share,negative_prediction_drift,predicted_negative,predicted_neutral,predicted_positive,ece,brier_score,mean_confidence,negative_precision,negative_recall,negative_f1,negative_support,neutral_precision,neutral_recall,neutral_f1,neutral_support,positive_precision,positive_f1,positive_support
comment_only,128,3e-05,0.1,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,stage2,42,ALL_OOF,4,12,3,training_fold_only,1.8356807231903076,0.5605734586715698,1.4895237684249878,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,18.37062931060791,977,0.7850562947799385,0.733411953296593,0.78767635175058,0.7406955869234673,0.6311575645165993,0.6123595505617978,0.7608695652173914,0.7029608007180369,0.7029608007180369,False,False,0.195496417604913,0.013306038894575212,191,544,242,0.15216590846939249,0.12218343642708772,0.9303589008115575,0.5706806282722513,0.6123595505617978,0.5907859078590786,178,0.8878676470588235,0.8488576449912126,0.8679245283018868,569,0.7231404958677686,0.7415254237288136,230
context_sep_comment,128,3e-05,0.3,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,stage2,62,ALL_OOF,5,12,3,training_fold_only,1.8888888359069824,0.5642135739326477,1.4322344064712524,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,26.10249137878418,977,0.7737973387922211,0.7276222962167141,0.7766562298313574,0.7390255475528363,0.6156392973191772,0.5955056179775281,0.8043478260869565,0.7015064265778651,0.7015064265778651,False,False,0.195496417604913,0.013306038894575212,191,531,255,0.10365506106779789,0.12090025144292611,0.8634981714959277,0.5549738219895288,0.5955056179775281,0.5745257452574526,178,0.8757062146892656,0.8172231985940246,0.8454545454545455,569,0.7254901960784313,0.7628865979381443,230
context_sep_comment,128,2e-05,0.2,cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,stage2,52,ALL_OOF,4,12,3,training_fold_only,1.8888888359069824,0.5754231214523315,1.3647469282150269,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,32.261760234832764,977,0.7666325486182191,0.7195982672791819,0.7708558407143733,0.7379552112926772,0.6122839179990998,0.5898876404494382,0.8260869565217391,0.7006752096547384,0.7006752096547384,False,False,0.1903787103377686,0.008188331627430906,186,505,286,0.09354556573816064,0.12115537742518394,0.8534946709169702,0.5645161290322581,0.5898876404494382,0.5769230769230769,178,0.899009900990099,0.7978910369068541,0.845437616387337,569,0.6643356643356644,0.7364341085271318,230
comment_only,128,1e-05,0.2,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,stage2,62,ALL_OOF,5,12,3,training_fold_only,1.8888888359069824,0.5642135739326477,1.4322344064712524,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,33.630287170410156,977,0.7656090071647902,0.7186181167028153,0.771981755959083,0.7360158135027784,0.6098692911418775,0.6292134831460674,0.7739130434782608,0.6975809794565238,0.6975809794565238,False,False,0.2159672466734902,0.03377686796315249,211,508,258,0.0699209961334783,0.11826490783060424,0.8349198396398687,0.5308056872037915,0.6292134831460674,0.5758354755784062,178,0.9015748031496063,0.804920913884007,0.8505106778087279,569,0.689922480620155,0.7295081967213115,230
context_sep_comment,128,3e-05,0.3,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,stage2,42,ALL_OOF,4,12,3,training_fold_only,1.8356807231903076,0.5605734586715698,1.4895237684249878,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,20.34048867225647,977,0.7840327533265097,0.7299503367135532,0.7857882692961107,0.7353691186238795,0.6277421165497286,0.6067415730337079,0.7434782608695653,0.6968444439649265,0.6968444439649265,False,False,0.1852610030706243,0.0030706243602865724,181,549,247,0.09844172928203948,0.11561409936576968,0.8583398468662797,0.5966850828729282,0.6067415730337079,0.6016713091922006,178,0.8870673952641166,0.8558875219683656,0.8711985688729875,569,0.6923076923076923,0.7169811320754716,230
context_sep_comment,128,3e-05,0.1,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,stage2,62,ALL_OOF,4,12,3,training_fold_only,1.8888888359069824,0.5642135739326477,1.4322344064712524,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,34.81994295120239,977,0.7737973387922211,0.7257479829151907,0.7776859229300209,0.7342348483742765,0.6136229571430418,0.6235955056179775,0.7478260869565218,0.6954116626580473,0.6954116626580473,False,False,0.2098259979529171,0.027635619242579318,205,540,232,0.11529380452181442,0.124328282215542,0.8783080590356945,0.5414634146341464,0.6235955056179775,0.5796344647519582,178,0.8759259259259259,0.8312829525483304,0.8530207394048692,569,0.7413793103448276,0.7445887445887446,230
comment_only,128,1e-05,0.2,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,stage2,52,ALL_OOF,6,12,3,training_fold_only,1.8888888359069824,0.5754231214523315,1.3647469282150269,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,25.745805501937866,977,0.7666325486182191,0.7182856808007392,0.7721155034818217,0.7336045805812956,0.6090112534351546,0.6123595505617978,0.7782608695652173,0.6950192774534381,0.6950192774534381,False,False,0.2098259979529171,0.027635619242579318,205,515,257,0.06763085067089165,0.11671498458036944,0.8206681151595062,0.5317073170731708,0.6123595505617978,0.5691906005221932,178,0.8951456310679612,0.8101933216168717,0.8505535055350554,569,0.6964980544747081,0.7351129363449692,230
comment_only,128,3e-05,0.1,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,stage2,62,ALL_OOF,3,12,3,training_fold_only,1.8888888359069824,0.5642135739326477,1.4322344064712524,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,32.91465640068054,977,0.7697031729785057,0.7171248545998045,0.7742438351012715,0.7319582946624278,0.6135646024063797,0.5786516853932584,0.8,0.6936687045216267,0.6936687045216267,False,False,0.1965199590583418,0.014329580348004078,192,516,269,0.10160343365757096,0.12349824897441286,0.8702274244602773,0.5364583333333334,0.5786516853932584,0.5567567567567567,178,0.9011627906976745,0.8172231985940246,0.8571428571428571,569,0.6840148698884758,0.7374749498997996,230
comment_only,128,1e-05,0.2,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,stage2,42,ALL_OOF,5,12,3,training_fold_only,1.8356807231903076,0.5605734586715698,1.4895237684249878,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,28.63387417793274,977,0.7645854657113613,0.7142913744309093,0.7703957157101335,0.7315861667910145,0.6084543620405598,0.601123595505618,0.7869565217391304,0.6930222402463224,0.6930222402463224,False,False,0.2016376663254862,0.019447287615148412,197,506,274,0.07784261381369897,0.12089742317068725,0.8227890071019668,0.5431472081218274,0.601123595505618,0.5706666666666667,178,0.9071146245059288,0.8066783831282952,0.8539534883720931,569,0.6605839416058394,0.7182539682539683,230
context_sep_comment,128,2e-05,0.2,cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,stage2,62,ALL_OOF,6,12,3,training_fold_only,1.8888888359069824,0.5642135739326477,1.4322344064712524,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,33.11203455924988,977,0.7717502558853634,0.722820318862624,0.7751864020561928,0.7308962291824606,0.6093703508495275,0.6292134831460674,0.7304347826086957,0.6912931483795361,0.6912931483795361,False,False,0.2067553735926305,0.024564994882292718,202,542,233,0.11525587019193134,0.12089363137205288,0.8867156988766689,0.5544554455445545,0.6292134831460674,0.5894736842105263,178,0.8745387453874539,0.8330404217926186,0.8532853285328533,569,0.721030042918455,0.7257019438444925,230
context_sep_comment,128,3e-05,0.3,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,stage2,52,ALL_OOF,5,12,3,training_fold_only,1.8888888359069824,0.5754231214523315,1.3647469282150269,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,23.114928007125854,977,0.77482088024565,0.7205119376034966,0.7757494619704735,0.728453229596572,0.6138258811260224,0.550561797752809,0.8,0.6899091202205969,0.6899091202205969,False,False,0.1760491299897645,0.0061412487205732,172,542,263,0.11125248353337318,0.11512465367718516,0.8821978616616865,0.5697674418604651,0.550561797752809,0.56,178,0.8763837638376384,0.8347978910369068,0.8550855085508551,569,0.6996197718631179,0.7464503042596349,230
context_sep_comment,128,3e-05,0.1,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,stage2,42,ALL_OOF,3,12,3,training_fold_only,1.8356807231903076,0.5605734586715698,1.4895237684249878,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,13.88405966758728,977,0.7574206755373593,0.711486727477627,0.7629032078173079,0.7256583927384268,0.591625030699412,0.6685393258426966,0.7,0.6844802992102469,0.6844802992102469,False,False,0.2241555783009212,0.041965199590583424,219,523,235,0.10433486845256604,0.12554198440175982,0.860519358543193,0.54337899543379,0.6685393258426966,0.5994962216624685,178,0.8795411089866156,0.8084358523725835,0.8424908424908425,569,0.6851063829787234,0.6924731182795699,230
