Id,Label,Source,Target,Type,Weight,edge_weight_raw,edge_visual_weight,edge_confidence_rank,edge_visual_opacity,edge_type,original_edge_type,is_ambiguous_assignment,is_ambiguous_association,raw_account_count,fractional_account_count,shared_video_count,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
E000037,Ambiguous: HCC_132 -> MASS_HCC_132_Ambiguous_Community_Mass_Association_Mixed,HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Mixed,Directed,2.362093150623324,9.61314312622362,2.362093150623324,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,67,9.61314312622362,68,68.0,0,0,0,0.0,0.0
E000038,Ambiguous: HCC_132 -> MASS_HCC_132_Ambiguous_Community_Mass_Association_Negative,HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Negative,Directed,3.3623586683667686,27.857175177763413,3.3623586683667686,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,82,27.857175177763413,82,82.0,0,0,0,0.0,0.0
E000039,Ambiguous: HCC_132 -> MASS_HCC_132_Ambiguous_Community_Mass_Association_Neutral,HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Neutral,Directed,4.641944073931093,102.74584124595735,4.641944073931093,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,364,102.74584124595735,366,366.0,0,0,0,0.0,0.0
E000040,Ambiguous: HCC_132 -> MASS_HCC_132_Ambiguous_Community_Mass_Association_Positive,HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Positive,Directed,3.5871180773143956,35.12980244729471,3.5871180773143956,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,104,35.12980244729471,106,106.0,0,0,0,0.0,0.0
E000041,Observed: HCC_132 -> MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Negative,HCC_132,MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Negative,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,4,0.0,0.0
E000042,Observed: HCC_132 -> MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Neutral,HCC_132,MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Neutral,Directed,1.3862943611198906,3.0,1.3862943611198906,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,3,3.0,3,3.0,0,3,7,0.0,0.0
E000043,Observed: HCC_132 -> MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Positive,HCC_132,MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Positive,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,4,0.0,0.0
E000044,Ambiguous: HCC_134 -> MASS_HCC_134_Ambiguous_Community_Mass_Association_Mixed,HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Mixed,Directed,3.4044844721513035,29.098774966863203,3.4044844721513035,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,201,29.098774966863203,206,206.0,0,0,0,0.0,0.0
E000045,Ambiguous: HCC_134 -> MASS_HCC_134_Ambiguous_Community_Mass_Association_Negative,HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Negative,Directed,4.944065879629994,139.3396954352837,4.944065879629994,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,743,139.3396954352837,746,746.0,0,0,0,0.0,0.0
E000046,Ambiguous: HCC_134 -> MASS_HCC_134_Ambiguous_Community_Mass_Association_Neutral,HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Neutral,Directed,7.014209803935873,1111.327342158186,7.014209803935873,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,5697,1111.327342158186,5709,5709.0,0,0,0,0.0,0.0
E000047,Ambiguous: HCC_134 -> MASS_HCC_134_Ambiguous_Community_Mass_Association_Positive,HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Positive,Directed,5.83219045725199,340.10503734311783,5.83219045725199,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,1732,340.10503734311783,1736,1736.0,0,0,0,0.0,0.0
