Id,Label,Source,Target,Type,Weight,edge_weight_raw,edge_visual_weight,edge_confidence_rank,edge_visual_opacity,edge_type,original_edge_type,is_ambiguous_assignment,is_ambiguous_association,raw_account_count,fractional_account_count,shared_video_count,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
E000052,Ambiguous: HCC_14 -> MASS_HCC_14_Ambiguous_Community_Mass_Association_Mixed,HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Mixed,Directed,4.128544077493159,61.087462564954826,4.128544077493159,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,312,61.087462564954826,320,320.0,0,8,22,0.0,0.0
E000053,Ambiguous: HCC_14 -> MASS_HCC_14_Ambiguous_Community_Mass_Association_Negative,HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Negative,Directed,6.641039320493608,764.8905852919011,6.641039320493608,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,2617,764.8905852919011,2619,2619.0,0,23,66,0.0,0.0
E000054,Ambiguous: HCC_14 -> MASS_HCC_14_Ambiguous_Community_Mass_Association_Neutral,HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Neutral,Directed,7.104262613528534,1216.1442480464152,7.104262613528534,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,5833,1216.1442480464152,5846,5846.0,0,245,700,0.0,0.0
E000055,Ambiguous: HCC_14 -> MASS_HCC_14_Ambiguous_Community_Mass_Association_Positive,HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Positive,Directed,6.408808749719597,606.1699586962745,6.408808749719597,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,2492,606.1699586962745,2499,2499.0,0,78,216,0.0,0.0
E000056,Observed: HCC_14 -> MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Mixed,HCC_14,MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Mixed,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,3,7,0.0,0.0
E000057,Observed: HCC_14 -> MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Negative,HCC_14,MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Negative,Directed,3.091042453358316,21.0,3.091042453358316,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,21,21.0,21,21.0,0,23,63,0.0,0.0
E000058,Observed: HCC_14 -> MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Neutral,HCC_14,MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Neutral,Directed,4.060443010546419,57.0,4.060443010546419,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,57,57.0,57,57.0,0,58,170,0.0,0.0
E000059,Observed: HCC_14 -> MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Positive,HCC_14,MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Positive,Directed,2.9444389791664403,18.0,2.9444389791664403,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,18,18.0,19,19.0,0,18,53,0.0,0.0
E000060,Ambiguous: HCC_15 -> MASS_HCC_15_Ambiguous_Community_Mass_Association_Mixed,HCC_15,MASS_HCC_15_Ambiguous_Community_Mass_Association_Mixed,Directed,2.4982348529329523,11.161009034824824,2.4982348529329523,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,81,11.161009034824824,83,83.0,0,0,0,0.0,0.0
E000061,Ambiguous: HCC_15 -> MASS_HCC_15_Ambiguous_Community_Mass_Association_Negative,HCC_15,MASS_HCC_15_Ambiguous_Community_Mass_Association_Negative,Directed,3.6531623110798686,37.596527492115726,3.6531623110798686,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,219,37.596527492115726,219,219.0,0,0,0,0.0,0.0
E000062,Ambiguous: HCC_15 -> MASS_HCC_15_Ambiguous_Community_Mass_Association_Neutral,HCC_15,MASS_HCC_15_Ambiguous_Community_Mass_Association_Neutral,Directed,4.467811130609709,86.1657196733435,4.467811130609709,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,514,86.1657196733435,514,514.0,0,0,0,0.0,0.0
E000063,Ambiguous: HCC_15 -> MASS_HCC_15_Ambiguous_Community_Mass_Association_Positive,HCC_15,MASS_HCC_15_Ambiguous_Community_Mass_Association_Positive,Directed,3.699976788989605,39.44636554816088,3.699976788989605,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,213,39.44636554816088,213,213.0,0,0,0,0.0,0.0
E000064,Observed: HCC_15 -> MASS_HCC_15_Observed_Community_Mass_Temporal_Association_Negative,HCC_15,MASS_HCC_15_Observed_Community_Mass_Temporal_Association_Negative,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,4,0.0,0.0
