source,target,edge_type,is_ambiguous_association,weight,raw_account_count,fractional_account_weight,shared_video_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,139.3396954352837,743,139.3396954352837,0.0,0,0,0,0.0,0.0
HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,1111.1844850153286,5696,1111.1844850153286,0.0,0,0,0,0.0,0.0
HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,340.10503734311783,1732,340.10503734311783,0.0,0,0,0,0.0,0.0
HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Mixed,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,2,2,0.0,0.0
HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,2.0,2,2.0,0.0,0,2,2,0.0,0.0
HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,14.0,14,14.0,0.0,0,15,15,0.0,0.0
HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,2.0,2,2.0,0.0,0,2,2,0.0,0.0
HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,60.47912923162149,308,60.47912923162149,0.0,0,8,22,0.0,0.0
HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,757.3072519585677,2589,757.3072519585677,0.0,0,21,60,0.0,0.0
HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,1222.0192480464152,5855,1222.0192480464152,0.0,0,247,706,0.0,0.0
HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,608.4866253629411,2502,608.4866253629411,0.0,0,78,216,0.0,0.0
HCC_14,MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Mixed,Observed Community-Mass Temporal Association,False,2.0,2,2.0,0.0,0,3,7,0.0,0.0
HCC_14,MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,21.0,21,21.0,0.0,0,23,63,0.0,0.0
HCC_14,MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,57.0,57,57.0,0.0,0,58,170,0.0,0.0
HCC_14,MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,18.0,18,18.0,0.0,0,18,53,0.0,0.0
HCC_15,MASS_HCC_15_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,11.347344438551533,83,11.347344438551533,0.0,0,0,0,0.0,0.0
HCC_15,MASS_HCC_15_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,36.42986082544906,212,36.42986082544906,0.0,0,0,0,0.0,0.0
HCC_15,MASS_HCC_15_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,86.85619586381969,519,86.85619586381969,0.0,0,0,0,0.0,0.0
HCC_15,MASS_HCC_15_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,39.73622062062464,213,39.73622062062464,0.0,0,0,0,0.0,0.0
HCC_15,MASS_HCC_15_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,4,0.0,0.0
HCC_15,MASS_HCC_15_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,2,0.0,0.0
HCC_15,MASS_HCC_15_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,6,0.0,0.0
HCC_15,MASS_HCC_15_Verified_Community_Mass_Direct_Interaction_Neutral,Verified Community-Mass Direct Interaction,False,1.0,1,1.0,0.0,2,0,0,0.0,0.0
HCC_150,MASS_HCC_150_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,45.32095278582861,274,45.32095278582861,0.0,0,3,6,0.0,0.0
HCC_150,MASS_HCC_150_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,253.2167284899483,1125,253.2167284899483,0.0,0,6,11,0.0,0.0
HCC_150,MASS_HCC_150_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,1359.671105236353,6480,1359.671105236353,0.0,0,96,181,0.0,0.0
HCC_150,MASS_HCC_150_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,499.2016019498218,2257,499.2016019498218,0.0,0,34,62,0.0,0.0
HCC_150,MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Mixed,Observed Community-Mass Temporal Association,False,12.0,12,12.0,0.0,0,17,21,0.0,0.0
