username_norm,username,is_hcc_member,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no text_count,negative_ratio,neutral_ratio,positive_ratio,dominant_sentiment
02setiaa,02setiaa,False,2,2,1.0,0,2,0,0,0,0.0,1.0,0.0,Neutral
0311lni,0311lni,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
0351hayati,0351hayati,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
03_ony,03_ony,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
03ryss,03ryss,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
0404lp,0404lp,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
04april19977,04april19977,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
04scorpi,04scorpi,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
050599chycisohra,050599chycisohra,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
0526mp,0526mp,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
05eliska,05eliska,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
05foaqsy,05foaqsy,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
05wardaaa,05wardaaa,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
06.libra,06.libra,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
0621010207d,0621010207d,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
06feby04,06feby04,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
06widyaanggraini03,06widyaanggraini03,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
07021999_,07021999_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
0802.2008,0802.2008,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
0889manismanismanja,0889manismanismanja,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
08novitaaaaaa,08novitaaaaaa,False,7,6,0.8571428571428571,0,4,2,1,0,0.3333333333333333,0.6666666666666666,0.0,Neutral
08pm.xx,08pm.xx,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
09.03.9930,09.03.9930,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
09nkeenn,09nkeenn,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
0caak8,0caak8,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
0cta222,0cta222,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
0ctt_aviiee,0ctt_aviiee,False,2,2,1.0,1,1,0,0,0,0.0,0.5,0.5,Neutral
0mn1buslaw,0mn1buslaw,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
0nely_,0nely_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
0whiee,0whiee,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
1.july_,1.july_,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
10.11.wonk,10.11.wonk,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
100813karsan,100813karsan,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
10_maysha,10_maysha,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
11111183639sbaffwiw,11111183639sbaffwiw,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1111baho,1111baho,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1111mikomiko,1111mikomiko,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
112233.elisabeth,112233.elisabeth,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
11caaaa,11caaaa,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
11username015,11username015,False,2,2,1.0,0,1,1,0,0,0.5,0.5,0.0,Negative
1200rl,1200rl,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
