hcc_id,community_size,n_accounts,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,soft_positive_share,soft_neutral_share,soft_negative_share,effective_sample_size,dominant_sentiment,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_method,goal_validation_status,small_sample_warning,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,negative_ratio_ci_low,negative_ratio_ci_high,neutral_ratio_ci_low,neutral_ratio_ci_high,positive_ratio_ci_low,positive_ratio_ci_high
58,3,3,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Daviena,Daviena,Daviena,High,Low,,,,,,
62,3,3,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Maryame,Mixed_3plus_Brands,Maryame + Daviena + The Originote,Medium,Low,,,,,,
73,3,3,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Daviena,Daviena,Daviena + Maryame,Medium,Low,,,,,,
74,4,4,12,12,1.0,4,6,2,0,0,0.3333333333333333,0.5,0.16666666666666666,0.3415319885658027,0.5258817620487832,0.13258624938541402,10.848967552185059,Neutral,Neutral Engagement,Assigned,Medium,0.16666666666666669,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,0.046964147614822246,0.44803635738467273,0.2537781703934222,0.7462218296065778,0.13811783989736134,0.609382412602386
86,5,5,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,,,,,,
90,4,4,12,12,1.0,2,10,0,0,0,0.16666666666666666,0.8333333333333334,0.0,0.15953413803909358,0.7971363941543936,0.04332946780651279,11.041178703308105,Neutral,Neutral Engagement,Assigned,Medium,0.6666666666666667,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Azarine,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,Low,0.0,0.2425007574992425,0.5519636426153274,0.9530358523851776,0.046964147614822246,0.44803635738467273
99,6,6,28,28,1.0,28,0,0,0,0,1.0,0.0,0.0,0.9454367605107887,0.024891269996250378,0.02967196949296085,26.472227096557617,Positive,Promotional / Supportive,Assigned,High,1.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,The Originote,The Originote,The Originote,High,Medium,0.0,0.12064720365810762,0.0,0.12064720365810762,0.8793527963418923,1.0
112,6,6,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Maryame,Maryame,Maryame,High,Medium,,,,,,
113,6,6,28,28,1.0,28,0,0,0,0,1.0,0.0,0.0,0.9524170200810245,0.025002132568858984,0.022580847350116513,26.667678833007812,Positive,Promotional / Supportive,Assigned,High,1.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Maryame,Maryame,Maryame,High,Medium,0.0,0.12064720365810762,0.0,0.12064720365810762,0.8793527963418923,1.0
116,6,6,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,The Originote,The Originote,The Originote,High,Low,,,,,,
